Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000285100,2.851004986e-04
theta_2,-1.570796327,-1.570538782,2.575449457e-04
theta_3,1.570796327,1.570038650,-7.576772656e-04
theta_4,0.000000000,-0.000522430,-5.224302716e-04
theta_5,1.570796327,1.570740899,-5.542750272e-05
theta_6,0.000000000,0.000042013,4.201293718e-05
