label,status,method,noise_channel,noise_profile,noise_level,trial,seed,tau,duration_s,task_gain,position_weight,drift_weight,pcg_max_iters,mean_position_error_m,max_position_error_m,final_position_error_m,mean_joint_drift_norm_rad,max_abs_joint_drift_rad,final_joint_drift_norm_rad,mean_elncp_residual_norm,max_elncp_residual_norm,mean_stationarity_norm,mean_ncp_residual_norm,mean_pcg_iterations,max_pcg_iterations,mean_active_iterations,max_active_iterations,min_boundary_slack,mean_noise_norm,max_noise_norm,theta_initial_rad,theta_final_rad,theta_delta_rad,num_samples,wall_clock_run_s,result_dir,coppeliasim_port
Method3 TVQP ELNCP PCG noise robustness live sensor linear level=0 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,linear,0.0,0,22485172,0.005,20.0,198.0,15000.0,0.0005,8,8.398006080203514e-05,0.00016766762766571954,5.833265307491838e-05,0.31018108414053763,0.41294920444488525,0.00041822090768466844,1.6840004101610964e-08,1.565750831371483e-07,1.6798279317200298e-08,8.689766718875835e-11,9.87975,13,1.63375,2,1.7595151450391329,0.0,0.0,"[-0.0005388818099163473, -1.5708383321762085, 1.571167230606079, -7.58956084609963e-05, 1.569228172302246, 1.380307281806381e-07]","[-0.0005396403721533716, -1.5706685781478882, 1.571075201034546, 0.00029428902780637145, 1.5692039728164673, 1.380307281806381e-07]","[-7.585622370243073e-07, 0.0001697540283203125, -9.202957153320312e-05, 0.00037018463626736775, -2.4199485778808594e-05, 0.0]",4000,1489.7128247000219,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\live_linear_reference\representative\sensor_linear_0_trial0,19997
Method3 TVQP ELNCP PCG noise robustness live sensor linear level=0.0001 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,linear,0.0001,0,23030670,0.005,20.0,198.0,15000.0,0.0005,8,8.827117960966523e-05,0.00017608252686694952,7.179655349313745e-05,0.310143554512919,0.4129300117492676,0.0003888008936970121,1.642879642010513e-08,1.353370449846766e-07,1.638650209660006e-08,8.689760631836674e-11,9.89025,14,1.64025,2,1.7595035476488716,4.99875e-05,9.9975e-05,"[-9.74594604485901e-06, -1.5705326795578003, 1.570804238319397, 0.0004065725952386856, 1.570725679397583, 3.889123245670589e-09]","[-2.708964530029334e-05, -1.57039213180542, 1.5707875490188599, 0.000766026962082833, 1.5707436800003052, 3.608247061492875e-05]","[-1.734369925543433e-05, 0.0001405477523803711, -1.6689300537109375e-05, 0.00035945436684414744, 1.800060272216797e-05, 3.607858149168308e-05]",4000,1494.4916439999943,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\live_linear_reference\representative\sensor_linear_0.0001_trial0,19997
Method3 TVQP ELNCP PCG noise robustness live sensor linear level=0.001 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,linear,0.001,0,22695970,0.005,20.0,198.0,15000.0,0.0005,8,0.00013029256826440865,0.000266186343302667,0.00020574858101958147,0.3102466155842233,0.4127615690231323,0.001034683416740967,1.502494256650637e-08,1.4002852578309494e-07,1.498257061682199e-08,8.68976397564113e-11,10.0335,13,1.661,2,1.7595657765279291,0.000499875,0.00099975,"[0.0, -1.5707963705062866, 1.5707963705062866, 0.0, 1.5707963705062866, 0.0]","[0.0005835954216308892, -1.57053542137146, 1.5706232786178589, 0.0001570755848661065, 1.5705745220184326, -0.0007470216951332986]","[0.0005835954216308892, 0.00026094913482666016, -0.00017309188842773438, 0.0001570755848661065, -0.0002218484878540039, -0.0007470216951332986]",4000,1495.8162785999884,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\live_linear_reference\representative\sensor_linear_0.001_trial0,19997
Method3 TVQP ELNCP PCG noise robustness live actuator linear level=0.001 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,actuator,linear,0.001,0,22641655,0.005,20.0,198.0,15000.0,0.0005,8,8.403128631943063e-05,0.0001677521447840557,5.847532070870589e-05,0.31015821704587676,0.41293609142303467,0.00041552460346294803,1.4407071680043944e-08,1.5914433496878637e-07,1.4363597985915354e-08,8.689744075172447e-11,10.02375,13,1.678,2,1.7594219763641286,0.0004998750000000001,0.00099975,"[2.1544687115238048e-05, -1.5705289840698242, 1.570791482925415, 0.0004026769893243909, 1.5707643032073975, -2.105600833601784e-05]","[2.0564781152643263e-05, -1.5703591108322144, 1.5707006454467773, 0.0007699931156821549, 1.570739507675171, -2.498237881809473e-05]","[-9.799059625947848e-07, 0.00016987323760986328, -9.083747863769531e-05, 0.000367316126357764, -2.47955322265625e-05, -3.926370482076891e-06]",4000,1494.0250869999873,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\live_linear_reference\representative\actuator_linear_0.001_trial0,19997
Method3 TVQP ELNCP PCG noise robustness live actuator linear level=0.01 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,actuator,linear,0.01,0,23152183,0.005,20.0,198.0,15000.0,0.0005,8,8.174684000957596e-05,0.00016213308441031426,5.2606029019833056e-05,0.3101563334710638,0.41293370723724365,0.00039526691000134665,1.4940472054708473e-08,1.6091770240204304e-07,1.4897144620789223e-08,8.689329656565838e-11,9.9775,13,1.66525,2,1.7655304125402769,0.0049987500000000015,0.009997500000000001,"[5.909520496061305e-06, -1.570523977279663, 1.5707937479019165, 0.0004199270624667406, 1.57076895236969, -7.039406568765116e-07]","[1.3265624147607014e-05, -1.570375919342041, 1.5707088708877563, 0.0007738826097920537, 1.5707294940948486, 1.3961410331830848e-05]","[7.356103651545709e-06, 0.0001480579376220703, -8.487701416015625e-05, 0.0003539555473253131, -3.9458274841308594e-05, 1.466535098870736e-05]",4000,1494.7057513000036,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\live_linear_reference\representative\actuator_linear_0.01_trial0,19997
