Joint,Initial angle (rad),Final angle (rad),Delta (rad)
$\theta_{1}$,0.000000,-0.000000,-1.779119e-08
$\theta_{2}$,-1.570796,-1.570795,8.303007e-07
$\theta_{3}$,1.570796,1.570797,4.954636e-07
$\theta_{4}$,0.000000,0.000003,3.331276e-06
$\theta_{5}$,1.570796,1.570797,7.684878e-07
$\theta_{6}$,0.000000,-0.000000,-9.451910e-17
