Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000005356,0.000004542,-8.140968930e-07
theta_2,-1.570529819,-1.570361733,1.680850983e-04
theta_3,1.570792556,1.570698023,-9.453296661e-05
theta_4,0.000412708,0.000781665,3.689576697e-04
theta_5,1.570769787,1.570745468,-2.431869507e-05
theta_6,-0.000000016,-0.000000016,1.083577672e-13
