Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.035214464,-3.521446361e-02
theta_2,-1.570796327,-1.526518764,4.427756284e-02
theta_3,1.570796327,1.517778203,-5.301812384e-02
theta_4,0.000000000,-0.054770340,-5.477034000e-02
theta_5,1.570796327,1.550398957,-2.039736932e-02
theta_6,0.000000000,-0.000000000,-1.066270514e-17
