case_id,task_gain,position_weight,drift_weight,regularization_gain,solver_max_iters,use_jacobi_preconditioner,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,mean_inner_iterations,wall_clock_run_s,result_dir,composite_score
tg198_pw1p5e04_dw0p001_rg1em08_it6_jac1,198.0,15000.0,0.001,1e-08,6,True,ok,0.0002043366986441983,6.076300142578483e-07,2.1759170498053624e-06,8.125844086610272e-06,4.81025,1.8017934000017704,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p001_rg1em08_it6_jac1\offline,2.317813666918342
tg198_pw1e04_dw0p0005_rg1em10_it6_jac1,198.0,10000.0,0.0005,1e-10,6,True,ok,0.00020433669075364548,6.080051614827872e-07,2.1759473685941225e-06,8.415136821613487e-06,4.80025,1.700824299998203,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p0005_rg1em10_it6_jac1\offline,2.3290010925682285
tg180_pw1p5e04_dw0p001_rg1em10_it6_jac1,180.0,15000.0,0.001,1e-10,6,True,ok,0.00020433676802819972,6.176208455253039e-07,2.180962299984202e-06,8.359333058853404e-06,4.838,1.7734290000007604,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p001_rg1em10_it6_jac1\offline,2.334118510018117
tg180_pw1p5e04_dw0p0005_rg1em10_it5_jac1,180.0,15000.0,0.0005,1e-10,5,True,ok,0.00020433675016239247,6.176097359867579e-07,2.177814391359162e-06,9.629145859468626e-06,4.403,1.7061973999989277,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p0005_rg1em10_it5_jac1\offline,2.3708167287187867
tg180_pw1p5e04_dw0p0005_rg1em09_it5_jac1,180.0,15000.0,0.0005,1e-09,5,True,ok,0.00020433674786593344,6.176136075449756e-07,2.177637955515044e-06,1.0470800276270297e-05,4.409,1.7047411999992619,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p0005_rg1em09_it5_jac1\offline,2.4037159126697776
tg198_pw1p5e04_dw0p0005_rg1em08_it5_jac1,198.0,15000.0,0.0005,1e-08,5,True,ok,0.00020433668293805951,6.081544119758359e-07,2.1749010935787587e-06,1.0668094076673203e-05,4.401,1.7282513999998628,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p0005_rg1em08_it5_jac1\offline,2.4063627306665096
tg198_pw1p5e04_dw0p002_rg1em09_it6_jac1,198.0,15000.0,0.002,1e-09,6,True,ok,0.00020433672664403688,6.079165446478656e-07,2.558506597752073e-06,5.849371648800875e-06,4.861,1.7381852999969851,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p002_rg1em09_it6_jac1\offline,2.472916981629772
tg180_pw1p5e04_dw0p002_rg1em09_it5_jac1,180.0,15000.0,0.002,1e-09,5,True,ok,0.00020433680007889393,6.176417803376483e-07,2.691446253297483e-06,4.748949247227854e-06,4.4795,1.556040399998892,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p002_rg1em09_it5_jac1\offline,2.5079256808179666
tg180_pw1e04_dw0p002_rg1em10_it6_jac1,180.0,10000.0,0.002,1e-10,6,True,ok,0.00020433684012449347,6.176287000253199e-07,2.849955779142128e-06,3.866201155915474e-06,4.908,1.7511569000016607,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p002_rg1em10_it6_jac1\offline,2.5846905668868843
tg180_pw8e03_dw0p0005_rg1em10_it5_jac1,180.0,8000.0,0.0005,1e-10,5,True,ok,0.0002043367650869347,6.17654890425543e-07,2.7924257306791227e-06,5.2188214157017475e-06,4.41975,1.0532520999986446,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p0005_rg1em10_it5_jac1\offline,2.5888161932425398
tg198_pw1e04_dw0p002_rg1em10_it5_jac1,198.0,10000.0,0.002,1e-10,5,True,ok,0.00020433676305979298,6.07935546363413e-07,3.0093376808270498e-06,3.2415585229978236e-06,4.515,1.7239899000014702,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p002_rg1em10_it5_jac1\offline,2.6483497328344354
tg180_pw8e03_dw0p002_rg1em09_it5_jac1,180.0,8000.0,0.002,1e-09,5,True,ok,0.00020433687631219886,6.176315119381001e-07,3.0502356489365886e-06,2.6143845877124924e-06,4.535,1.7560315999980958,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p002_rg1em09_it5_jac1\offline,2.653497530730145
tg198_pw8e03_dw0p002_rg1em10_it6_jac1,198.0,8000.0,0.002,1e-10,6,True,ok,0.00020433679554326175,6.08060633752267e-07,3.122169163365769e-06,2.9441934815192804e-06,4.92625,1.756830300000729,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p002_rg1em10_it6_jac1\offline,2.7186167484338943
tg198_pw8e03_dw0p002_rg1em08_it5_jac1,198.0,8000.0,0.002,1e-08,5,True,ok,0.00020433679560402713,6.079962579804092e-07,3.384749454131094e-06,2.584273835329384e-06,4.54875,1.7305406000014045,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p002_rg1em08_it5_jac1\offline,2.8616178175080114
tg198_pw8e03_dw0p002_rg1em09_it5_jac1,198.0,8000.0,0.002,1e-09,5,True,ok,0.00020433679550732338,6.079090603091902e-07,3.682141513998773e-06,2.616714205511552e-06,4.5365,1.6683025999991514,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p002_rg1em09_it5_jac1\offline,3.0511390840405705
tg198_pw1e04_dw0p002_rg1em09_it5_jac1,198.0,10000.0,0.002,1e-09,5,True,ok,0.00020433676308901505,6.080996447307316e-07,4.0389413557955695e-06,3.196794236998405e-06,4.51475,1.761709600003087,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p002_rg1em09_it5_jac1\offline,3.299568421328469
tg180_pw8e03_dw0p002_rg1em09_it6_jac1,180.0,8000.0,0.002,1e-09,6,True,ok,0.0002043368762090159,6.176392899319355e-07,4.598704750193827e-06,3.1222248535649356e-06,4.94375,1.726574600001186,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p002_rg1em09_it6_jac1\offline,3.6655030776692996
tg198_pw1e04_dw0p0005_rg1em08_it5_jac1,198.0,10000.0,0.0005,1e-08,5,True,ok,0.0002043366910259541,6.082278127483093e-07,4.720736406763936e-06,6.501989110126196e-06,4.42375,1.7298335999985284,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p0005_rg1em08_it5_jac1\offline,3.858733231935438
tg180_pw1e04_dw0p0005_rg1em08_it5_jac1,180.0,10000.0,0.0005,1e-08,5,True,ok,0.00020433675973982889,6.176865237480928e-07,4.723997899609551e-06,6.971451802386522e-06,4.398,1.7124565999984043,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p0005_rg1em08_it5_jac1\offline,3.8816064084428725
tg180_pw8e03_dw0p0005_rg1em09_it5_jac1,180.0,8000.0,0.0005,1e-09,5,True,ok,0.0002043367655868395,6.175848165553251e-07,5.270634912954026e-06,5.179772392945211e-06,4.4205,1.7982646000018576,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p0005_rg1em09_it5_jac1\offline,4.1588323800741245
tg198_pw8e03_dw0p002_rg1em10_it5_jac1,198.0,8000.0,0.002,1e-10,5,True,ok,0.00020433679562235324,6.082774380459134e-07,5.532451124494988e-06,2.6422524065043603e-06,4.53175,1.6855427000009513,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p002_rg1em10_it5_jac1\offline,4.2255043077669106
tg180_pw8e03_dw0p002_rg1em10_it5_jac1,180.0,8000.0,0.002,1e-10,5,True,ok,0.00020433687629091535,6.176296270312808e-07,5.6261519516849205e-06,2.6074289855392087e-06,4.54575,1.7766374000020733,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p002_rg1em10_it5_jac1\offline,4.286999785456101
tg198_pw1p5e04_dw0p002_rg1em10_it5_jac1,198.0,15000.0,0.002,1e-10,5,True,ok,0.00020433672685047,6.08075264950136e-07,5.545468625306126e-06,4.51888317901457e-06,4.48275,1.768293299999641,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p002_rg1em10_it5_jac1\offline,4.305734367822546
tg198_pw1p5e04_dw0p002_rg1em09_it5_jac1,198.0,15000.0,0.002,1e-09,5,True,ok,0.00020433672675437804,6.077468056221079e-07,5.855524865520846e-06,4.697702720232302e-06,4.46825,1.7553848999996262,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p002_rg1em09_it5_jac1\offline,4.508865636700454
tg198_pw8e03_dw0p002_rg1em08_it6_jac1,198.0,8000.0,0.002,1e-08,6,True,ok,0.0002043367955796202,6.081279505467458e-07,5.962388651202032e-06,2.916784964402267e-06,4.933,1.7815919000022404,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p002_rg1em08_it6_jac1\offline,4.518849948863906
tg198_pw1e04_dw0p002_rg1em08_it6_jac1,198.0,10000.0,0.002,1e-08,6,True,ok,0.00020433676313167377,6.080381372517055e-07,5.990377592417056e-06,3.861453063718066e-06,4.919,1.7734301000018604,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p002_rg1em08_it6_jac1\offline,4.57310085311586
tg198_pw1e04_dw0p002_rg1em09_it6_jac1,198.0,10000.0,0.002,1e-09,6,True,ok,0.0002043367630285806,6.07807741890596e-07,5.989812039635607e-06,3.87916698884143e-06,4.915,1.7928359999968961,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p002_rg1em09_it6_jac1\offline,4.573257772290701
tg180_pw8e03_dw0p002_rg1em08_it5_jac1,180.0,8000.0,0.002,1e-08,5,True,ok,0.0002043368762962514,6.176353024246195e-07,6.383616734783281e-06,2.5613530016103366e-06,4.542,1.7870518999989145,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p002_rg1em08_it5_jac1\offline,4.765451842161146
tg180_pw1e04_dw0p002_rg1em08_it5_jac1,180.0,10000.0,0.002,1e-08,5,True,ok,0.0002043368402402181,6.176246349437872e-07,7.092972998333701e-06,3.225488169819121e-06,4.51375,1.7444813000001886,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p002_rg1em08_it5_jac1\offline,5.240505971311568
tg198_pw8e03_dw0p001_rg1em08_it6_jac1,198.0,8000.0,0.001,1e-08,6,True,ok,0.00020433672287745316,6.08053950979745e-07,9.040593102689462e-06,4.089370722889656e-06,4.8655,1.6531919000008202,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p001_rg1em08_it6_jac1\offline,6.514946812812051
tg198_pw1e04_dw0p001_rg1em09_it6_jac1,198.0,10000.0,0.001,1e-09,6,True,ok,0.00020433671170754539,6.080689331227067e-07,9.10365747379816e-06,5.491643933609225e-06,4.862,1.6928124000005482,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p001_rg1em09_it6_jac1\offline,6.609603563314599
