case_id,task_gain,position_weight,drift_weight,regularization_gain,solver_max_iters,use_jacobi_preconditioner,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,mean_inner_iterations,wall_clock_run_s,result_dir,composite_score
tg198_pw6e03_dw0p004_rg1em09_it6_jac1,198.0,6000.0,0.004,1e-09,6,True,ok,0.0001301977136034234,5.8152648375607424e-05,0.0004164331303954394,1.7817663765247685e-06,5.9885,739.6609804999971,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\live_selected_runs\tg198_pw6e03_dw0p004_rg1em09_it6_jac1\live,1.1192753840682266
tg198_pw6e03_dw0p002_rg1em09_it7_jac1,198.0,6000.0,0.002,1e-09,7,True,ok,0.00013021540448743098,5.813131471975006e-05,0.00041442451973635225,2.9789121076830562e-06,5.9735,740.0483953000003,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\live_selected_runs\tg198_pw6e03_dw0p002_rg1em09_it7_jac1\live,1.184225158714746
tg198_pw6e03_dw0p001_rg1em07_it6_jac1,198.0,6000.0,0.001,1e-07,6,True,ok,0.00013022370019493906,5.81049804454543e-05,0.0004106829308458283,3.925501894520379e-06,5.2835,740.0944473999989,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\live_selected_runs\tg198_pw6e03_dw0p001_rg1em07_it6_jac1\live,1.2189798320570095
tg180_pw6e03_dw0p004_rg1em07_it5_jac1,180.0,6000.0,0.004,1e-07,5,True,ok,0.00013636469556583308,6.083213786535177e-05,0.0004184119727099878,7.674816079540361e-06,4.996,746.6242324999985,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\live_selected_runs\tg180_pw6e03_dw0p004_rg1em07_it5_jac1\live,1.4540338358908889
tg198_pw1p5e04_dw0p0005_rg1em10_it6_jac1,198.0,15000.0,0.0005,1e-10,6,True,ok,0.00013023023638833518,5.814786417501239e-05,0.0003197148817648393,2.8944771953107698e-05,4.6655,739.5938242999982,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\live_selected_runs\tg198_pw1p5e04_dw0p0005_rg1em10_it6_jac1\live,2.524721264855445
