noise_level,noise_type,trials,mean_position_error_m_mean,mean_position_error_m_std,mean_position_error_m_min,mean_position_error_m_max,final_position_error_m_mean,final_position_error_m_std,final_position_error_m_min,final_position_error_m_max,max_position_error_m_mean,max_position_error_m_std,max_position_error_m_min,max_position_error_m_max,final_joint_drift_norm_rad_mean,final_joint_drift_norm_rad_std,final_joint_drift_norm_rad_min,final_joint_drift_norm_rad_max,max_drift_norm_mean,max_drift_norm_std,max_drift_norm_min,max_drift_norm_max,mean_drift_norm_mean,mean_drift_norm_std,mean_drift_norm_min,mean_drift_norm_max
1e-06,sensor,5,4.128500932587178e-06,5.229683546900936e-09,4.119095502209704e-06,4.133898187505146e-06,1.2379335014466304e-06,4.2945321821223554e-07,8.006686691006221e-07,2.02292600159167e-06,1.5069266713130478e-05,1.783416062852126e-07,1.4822436891996442e-05,1.5260204464263584e-05,4.090655842112887e-06,1.4953102691925725e-06,2.420422713354363e-06,6.7136576990931835e-06,0.512357752095358,5.333473900559321e-07,0.512356707615767,0.5123581222308985,0.3101770992070251,1.732740723573389e-08,0.3101770671417721,0.3101771161562033
5e-06,sensor,5,5.267422100291937e-06,1.9238096715554135e-08,5.230284037207702e-06,5.285376084273062e-06,3.3932415197362393e-06,1.4929769006327918e-06,1.7136394956084534e-06,5.36948750910206e-06,1.6323313345186247e-05,9.041974254360334e-07,1.5232550228866288e-05,1.7623223787055033e-05,1.3643246278142827e-05,6.155045174935954e-06,5.186144100105334e-06,2.4401307378474144e-05,0.5123592594979325,2.060780289002717e-06,0.5123568305504114,0.5123629222905659,0.31017701919203694,6.347095539201939e-08,0.3101769477177448,0.31017711684916227
1e-05,sensor,5,7.536834129676876e-06,8.487629122853547e-08,7.396921054926109e-06,7.659435294634292e-06,4.489391100136044e-06,7.391771501917845e-07,3.4671806962082167e-06,5.6524226320341755e-06,2.054128236304487e-05,7.426087766135953e-07,1.9679234043356516e-05,2.1440740130682095e-05,2.659914925342708e-05,5.569615304447951e-06,1.8857962474195235e-05,3.374528338816619e-05,0.512364955336994,3.4704206901252115e-06,0.5123583979715974,0.5123686577865968,0.31017736782048894,1.7704255765038373e-07,0.31017710014771366,0.3101776009993986
5e-05,sensor,5,3.0082423930074917e-05,4.959786360895008e-07,2.9579742124659664e-05,3.1017100173289875e-05,2.524197128985779e-05,1.2303968236296375e-05,1.02723511039408e-05,4.454377880673868e-05,9.464710579314678e-05,5.158677172199928e-06,8.530778308359369e-05,0.00010036257287468591,0.00010062769834667886,3.421935922784102e-05,6.657319054953802e-05,0.00015487714919864065,0.5124049518844181,1.63528178196393e-05,0.5123830100591779,0.5124222385138754,0.310178098272026,8.233553435010581e-07,0.3101769985414435,0.3101793670422324
0.0001,sensor,5,5.869364750343726e-05,8.285202204052794e-07,5.73109233619804e-05,5.9693923898427705e-05,4.8895179595056856e-05,1.631268232385938e-05,2.948766189911915e-05,7.324030979073866e-05,0.00019900411315723656,2.411764977668778e-05,0.0001803973897323812,0.0002463293992609955,0.0001940737427039016,7.303762159826182e-05,9.80846423243235e-05,0.00031235798399359036,0.512531181483647,7.018205163237252e-05,0.5124168202128437,0.5126031414568952,0.31017657906162494,1.492949163925496e-06,0.31017443354524676,0.3101785315176418
0.0005,sensor,5,0.00029351280592302586,1.3220285465278862e-06,0.0002914302706266284,0.00029556632961665345,0.0002045903861950249,0.00011660476876225536,6.619095746439407e-05,0.00039357723056922115,0.0009143296431370713,3.935389381446264e-05,0.000860450832424634,0.0009672104401345046,0.0007131524269625129,0.00018290382436879113,0.0005569496814787384,0.0010694838624571777,0.5131131832688348,0.000236656363912409,0.5128278480361809,0.5133800760568237,0.310192615890374,1.0428519898735971e-05,0.31017813184531495,0.3102053686651583
0.001,sensor,5,0.1534691679689227,0.035694178377704854,0.11869942853353672,0.19783544465315078,0.13943166833683487,0.07360033125186519,0.04147107359816241,0.2563030034922222,0.2769449838308363,0.050838230631898344,0.22579015772162567,0.36485018865684793,0.7444966837421572,0.15952155511325514,0.4525737857616831,0.9222651654032377,0.8395914254856232,0.1500644563349913,0.5917003295441962,1.0243788318767484,0.4963196020637596,0.07970391101269532,0.35646566881249925,0.588324003887745
