Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000022846,-2.284633687e-05
theta_2,-1.570796327,-1.570807372,-1.104553305e-05
theta_3,1.570796327,1.570807686,1.135887850e-05
theta_4,0.000000000,-0.000013884,-1.388382762e-05
theta_5,1.570796327,1.570767943,-2.838401806e-05
theta_6,0.000000000,0.000011857,1.185720743e-05
