avg_step_time_s,final_joint_drift_norm_rad,final_position_error_m,final_solver_residual,gamma,mean_position_error_m,mean_solver_residual,ns,returncode,runtime_s,shape,summary_path
0.0002900098749996687,2.2381166668878666e-06,4.218741913658144e-07,6.481114311372787e-05,80,0.0002496004592984628,0.04849166707619791,1,0,1.1600394999986747,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns1\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0004755362000014429,1.4881597614295732e-06,2.8517453622636256e-07,4.5342479863704694e-05,80,6.635857372294421e-05,0.011028740094364194,5,0,1.9021448000057717,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns5\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0006858023500008131,1.4783860051741513e-06,2.834814804462252e-07,4.5104936227629304e-05,80,4.0548943209701876e-05,0.006628927562087451,10,0,2.743209400003252,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns10\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0011271723249992648,1.480207911514559e-06,2.837537446855852e-07,4.51522301488332e-05,80,3.156340534586248e-05,0.005143507446854875,20,0,4.508689299997059,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns20\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0019737274250001065,1.4811657552573524e-06,2.8389800751967347e-07,4.517711176297208e-05,80,2.857004506322819e-05,0.004651781860887563,40,0,7.894909700000426,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0028792275999985576,1.481490183801555e-06,2.839470017229791e-07,4.5185542430441e-05,80,2.8504707219188377e-05,0.0046407690846832226,60,0,11.51691039999423,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0002909319999998843,1.4159602153899066e-05,2.67060130469754e-06,0.0007892470847443436,200,0.00019463692752038237,0.04842640728090608,1,0,1.1637279999995371,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns1\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.00046140952499990816,4.398458806286343e-07,1.2601631442252617e-07,2.0640692200751513e-05,200,5.4616957295482814e-05,0.01028578429250731,5,0,1.8456380999996327,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns5\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0007029176750002079,6.298560523347725e-07,1.41136368972964e-07,2.2627019500938725e-05,200,3.0465915870793753e-05,0.005250914262687077,10,0,2.811670700000832,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns10\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0011923252249998767,6.325321015958968e-07,1.4144884469211496e-07,2.2675768204719735e-05,200,1.8179910634215007e-05,0.002991540040976008,20,0,4.769300899999507,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns20\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0021575388749988634,6.33023640286691e-07,1.41495076919823e-07,2.2683426856462055e-05,200,1.2549235647707297e-05,0.002048393119695775,40,0,8.630155499995453,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.003365361975000269,6.331966978166562e-07,1.4151164099874263e-07,2.26861455293159e-05,200,1.1309796476426922e-05,0.0018429090117734663,60,0,13.461447900001076,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0002867688750011439,5.498551825088191e-05,2.270313561294467e-05,0.0234899876170865,500,0.00037728841018253457,0.10667619260419864,1,0,1.1470755000045756,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns1\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0004530761000005441,2.6458521351673977e-07,9.262923092735164e-08,1.556741422267065e-05,500,4.2168096581862937e-05,0.00977840633255295,5,0,1.8123044000021764,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns5\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0006749914250012807,2.541506563310824e-07,8.858351668225678e-08,1.4787383458153091e-05,500,2.3665924885340865e-05,0.004760201877304634,10,0,2.699965700005123,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns10\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0011752850749999198,2.5433391655126444e-07,8.900123558691938e-08,1.4863246421684644e-05,500,1.39765865086012e-05,0.0025365418520229186,20,0,4.701140299999679,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns20\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0021633208999992347,2.543085384187007e-07,8.898618605522668e-08,1.4859844520228198e-05,500,8.087496743672857e-06,0.00134534943448605,40,0,8.65328359999694,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0031192890250003984,2.5430181865244616e-07,8.898089006183075e-08,1.4858644392225647e-05,500,6.554061178279643e-06,0.0010774910977455502,60,0,12.477156100001594,small_circle,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0002773856249987148,0.00015601107645034858,3.048650046335167e-05,0.005222632220448388,80,0.0002599948402815112,0.05010648554876796,1,0,1.109542499994859,line,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns1\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.00044329014999857464,5.630269339363274e-06,1.1466142245628037e-06,0.00022207349825624384,80,5.754439404639172e-05,0.009519362881828464,5,0,1.7731605999942985,line,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns5\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0006674858749993291,4.117987193676766e-06,9.733744799904885e-07,0.00018394671816851992,80,3.422197842205288e-05,0.0055612862028692036,10,0,2.6699434999973164,line,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns10\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0011727219250005875,4.234566826265353e-06,9.87325095379534e-07,0.000186100007031046,80,3.190528841952823e-05,0.005184958080455934,20,0,4.6908877000023494,line,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns20\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0021815078500003436,4.240428944949463e-06,9.88469833490969e-07,0.00018622210233259142,80,3.178542633318043e-05,0.0051654915495277995,40,0,8.726031400001375,line,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
0.0031376370999987558,4.242402293196925e-06,9.888529858483772e-07,0.00018626342680647077,80,3.1748737201634714e-05,0.005159543929918904,60,0,12.550548399995023,line,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
