Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000000004,3.733707487e-09
theta_2,-1.570796327,-1.570796059,2.674275554e-07
theta_3,1.570796327,1.570796686,3.591665916e-07
theta_4,0.000000000,0.000000131,1.307845619e-07
theta_5,1.570796327,1.570796341,1.374947933e-08
theta_6,0.000000000,-0.000000000,-5.160950833e-15
