Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,-0.009620979,-0.009219244,4.017353058e-04
theta_2,-1.570629001,-1.568956375,1.672625542e-03
theta_3,1.574733019,1.573165774,-1.567244530e-03
theta_4,0.002590729,0.003140702,5.499734543e-04
theta_5,1.575023651,1.574518919,-5.047321320e-04
theta_6,0.000000000,0.000000005,4.372238127e-09
