Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000001970,-1.970203142e-06
theta_2,-1.570796327,-1.571353892,-5.575647441e-04
theta_3,1.570796327,1.570780400,-1.592678360e-05
theta_4,0.000000000,-0.000651425,-6.514248190e-04
theta_5,1.570796327,1.571228662,4.323356070e-04
theta_6,0.000000000,-0.000274680,-2.746797771e-04
