case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg220_mu14p0_ap0p85_ns80_gg4608,220.0,14.0,0.85,80,4608.0,ok,0.0002425294052837757,0.00010379587078073016,0.0021711376604473284,0.007672863732112059,739.1679561000019,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\live_selected_runs\tg220_mu14p0_ap0p85_ns80_gg4608\live,1.0215191849921967
tg220_mu12p0_ap0p85_ns80_gg4608,220.0,12.0,0.85,80,4608.0,ok,0.00024126528210738067,0.00010448647185311171,0.002609686491134736,0.006410863458651981,739.1079688999998,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\live_selected_runs\tg220_mu12p0_ap0p85_ns80_gg4608\live,1.0720273092704216
tg220_mu12p0_ap0p85_ns80_gg3840,220.0,12.0,0.85,80,3840.0,ok,0.00024236287395087956,0.00010391578076903487,0.0026098414091427465,0.006883339277482974,738.9419673000011,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\live_selected_runs\tg220_mu12p0_ap0p85_ns80_gg3840\live,1.079914826950565
tg220_mu12p0_ap0p85_ns60_gg4608,220.0,12.0,0.85,60,4608.0,ok,0.00024243845357029359,0.0001042333472711102,0.002609973509229622,0.008669391155836807,740.6530567000009,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\live_selected_runs\tg220_mu12p0_ap0p85_ns60_gg4608\live,1.108517441338579
tg120_mu10p0_ap0p90_ns20_gg1280,120.0,10.0,0.9,20,1280.0,ok,0.0004999767780764638,0.0001880071470311364,0.004555709162730544,0.029586040603876426,740.0174779000008,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\live_selected_runs\tg120_mu10p0_ap0p90_ns20_gg1280\live,2.2834775199220383
