case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg180_mu14p0_ap0p95_ns60_gg4608,180.0,14.0,0.95,60,4608.0,ok,0.0002003469511790847,1.095162397770941e-06,3.921248897283157e-06,0.004283150882533837,5.819360299999971,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu14p0_ap0p95_ns60_gg4608\offline,1.745600218532495
tg200_mu14p0_ap0p95_ns60_gg3072,200.0,14.0,0.95,60,3072.0,ok,0.0001996321557030152,1.0675634454947151e-06,3.857782119901524e-06,0.0049918054731165114,4.2649078000031295,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu14p0_ap0p95_ns60_gg3072\offline,1.7484069101708095
tg200_mu16p0_ap0p85_ns40_gg3072,200.0,16.0,0.85,40,3072.0,ok,0.0001970641028536309,9.387519539396628e-07,3.257354371578709e-06,0.01002009170135228,4.026042900000903,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu16p0_ap0p85_ns40_gg3072\offline,1.750883612409475
tg180_mu14p0_ap0p85_ns40_gg3840,180.0,14.0,0.85,40,3840.0,ok,0.00019841939440355062,1.1606110567070794e-06,3.3385759743849278e-06,0.008662248506542215,4.317019199999777,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu14p0_ap0p85_ns40_gg3840\offline,1.7745370093376711
tg220_mu16p0_ap0p85_ns40_gg3840,220.0,16.0,0.85,40,3840.0,ok,0.00019941657759384607,1.1078323228733464e-06,3.147889697509286e-06,0.010240294330877324,3.3016397999999754,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu16p0_ap0p85_ns40_gg3840\offline,1.7750975325502159
tg180_mu14p0_ap0p95_ns60_gg3840,180.0,14.0,0.95,60,3840.0,ok,0.00019985436482149245,1.1136690366299026e-06,3.988375796000936e-06,0.004624107690150567,5.76386679999996,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu14p0_ap0p95_ns60_gg3840\offline,1.7783824097295806
tg220_mu12p0_ap0p95_ns80_gg4608,220.0,12.0,0.95,80,4608.0,ok,0.00020178815969879843,9.925485851261723e-07,4.383122441694315e-06,0.0026963255802718196,6.889517600000545,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p95_ns80_gg4608\offline,1.7806505008256845
tg180_mu14p0_ap0p95_ns60_gg3072,180.0,14.0,0.95,60,3072.0,ok,0.00019937743101882776,1.1384678089010869e-06,3.987202407578952e-06,0.004928831553731358,5.720051400003285,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu14p0_ap0p95_ns60_gg3072\offline,1.7942851795743784
tg220_mu16p0_ap0p95_ns40_gg3072,220.0,16.0,0.95,40,3072.0,ok,0.00019842030558475784,1.0945025765304687e-06,3.45640386366897e-06,0.008892235435241133,3.3283023000003595,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu16p0_ap0p95_ns40_gg3072\offline,1.797125410147041
tg180_mu16p0_ap0p95_ns40_gg3072,180.0,16.0,0.95,40,3072.0,ok,0.0001977210425088175,1.1656436647527676e-06,3.5962695825968137e-06,0.00821662859329012,3.325429200001963,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg180_mu16p0_ap0p95_ns40_gg3072\offline,1.822150417552442
