case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg120_mu6p0_ap0p90_ns40_gg3840,120.0,6.0,0.9,40,3840.0,ok,0.00019980732841113027,2.2865907982155726e-06,1.3523171116448076e-05,0.003546228326869475,4.728265499998088,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu6p0_ap0p90_ns40_gg3840\offline,3.368050829081007
tg120_mu6p0_ap0p90_ns40_gg1280,120.0,6.0,0.9,40,1280.0,ok,0.00019656957054668694,2.083582349841849e-06,1.3956146031022181e-05,0.004376259644663312,4.529857000001357,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu6p0_ap0p90_ns40_gg1280\offline,3.4369524493298225
tg200_mu6p0_ap0p90_ns20_gg1280,200.0,6.0,0.9,20,1280.0,ok,0.00019654480504926848,2.083058133713965e-06,1.3376064656243137e-05,0.009126875449433946,2.983237000000372,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu6p0_ap0p90_ns20_gg1280\offline,3.55088811940385
tg200_mu6p0_ap0p90_ns20_gg2560,200.0,6.0,0.9,20,2560.0,ok,0.00019818076220755592,2.6125804615970984e-06,1.3933937211226961e-05,0.009319005824196602,3.099879500001407,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu6p0_ap0p90_ns20_gg2560\offline,3.7647994355451355
tg160_mu6p0_ap0p90_ns20_gg1280,160.0,6.0,0.9,20,1280.0,ok,0.00019547803647585108,2.4452696209769043e-06,1.4381810156459316e-05,0.008885335207912404,3.097993799998221,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu6p0_ap0p90_ns20_gg1280\offline,3.78663697478728
tg160_mu14p0_ap0p90_ns20_gg3840,160.0,14.0,0.9,20,3840.0,ok,0.00020064023265711612,3.952343158946751e-06,9.213298820112441e-06,0.025454971687366885,3.002419500000542,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu14p0_ap0p90_ns20_gg3840\offline,3.9317606769773765
tg160_mu6p0_ap0p90_ns20_gg2560,160.0,6.0,0.9,20,2560.0,ok,0.00019815390314228121,3.0374778961020188e-06,1.491419000219275e-05,0.00880082793219127,3.079537199999322,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu6p0_ap0p90_ns20_gg2560\offline,3.9975666250088464
tg120_mu6p0_ap0p90_ns20_gg1280,120.0,6.0,0.9,20,1280.0,ok,0.00019404710703052846,2.9213092905037766e-06,1.5548104550087267e-05,0.008552398384885682,1.978388299998187,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu6p0_ap0p90_ns20_gg1280\offline,4.068191302290846
tg120_mu14p0_ap0p90_ns20_gg2560,120.0,14.0,0.9,20,2560.0,ok,0.0001978812868558388,3.4923960521816978e-06,1.2705689418293847e-05,0.01944449552739946,3.0988531000002695,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns20_gg2560\offline,4.180684625342967
tg160_mu6p0_ap0p90_ns20_gg3840,160.0,6.0,0.9,20,3840.0,ok,0.00019930071022243739,2.3189369532825885e-06,1.5107257738599575e-05,0.01633742545968981,3.416664899999887,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu6p0_ap0p90_ns20_gg3840\offline,4.237342657033099
tg120_mu6p0_ap0p90_ns20_gg2560,120.0,6.0,0.9,20,2560.0,ok,0.00019518712039310197,3.838986430659918e-06,1.7193275527605288e-05,0.008663348009625713,2.832257900001423,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu6p0_ap0p90_ns20_gg2560\offline,4.545713745416595
tg200_mu6p0_ap0p90_ns20_gg3840,200.0,6.0,0.9,20,3840.0,ok,0.00019979016073293243,4.012090922346038e-06,1.5406652768116536e-05,0.01731720764369645,3.1403841999999713,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu6p0_ap0p90_ns20_gg3840\offline,4.6666117255400525
tg120_mu14p0_ap0p90_ns20_gg3840,120.0,14.0,0.9,20,3840.0,ok,0.00020270125129403155,5.705846269845723e-06,1.5866583490963046e-05,0.02616227306342236,3.102385399997729,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns20_gg3840\offline,5.487688821615304
tg120_mu6p0_ap0p90_ns20_gg3840,120.0,6.0,0.9,20,3840.0,ok,0.00019359480232329111,6.098107967304131e-06,1.984969421825371e-05,0.016573416564317697,3.09451010000339,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu6p0_ap0p90_ns20_gg3840\offline,5.814996301932952
