Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000000262,2.620421633e-07
theta_2,-1.570796327,-1.570795442,8.844219357e-07
theta_3,1.570796327,1.570795996,-3.310070957e-07
theta_4,0.000000000,0.000000308,3.077819006e-07
theta_5,1.570796327,1.570796140,-1.865705603e-07
theta_6,0.000000000,0.000000069,6.938026673e-08
