stamp,mode,topic,duration_s,mean_error_m,max_error_m,final_error_m,final_drift_rad,accel_p95,deadline,overrun,finding,y_range_ratio,z_range_ratio
20260607_120901,position_array,/pos_joint_group_controller/command,5.0,0.02198932481523703,0.07460774495003374,0.07460774495003374,0.15990996381567327,10.3923202549914,0.0,0.0,No obvious timing or command-smoothness fault in diagnostics,0.8528775469935862,0.6015293315370603
20260607_121402,position_array,/pos_joint_group_controller/command,5.0,0.032754119727989556,0.09387483467104453,0.09387483467104453,0.11380077482201534,4.242640790863755,0.0,0.0,No obvious timing or command-smoothness fault in diagnostics,0.5984474059924781,0.39114835733941594
20260607_121715,position_array,/pos_joint_group_controller/command,5.0,0.006301423346648842,0.03621665817366695,0.03621665817366695,0.2125419493051158,20.78630878986155,0.0,0.0,Command acceleration is high,1.0084394886057335,0.9759406769681725
20260607_122351,position_array,/pos_joint_group_controller/command,5.0,0.006285380563934208,0.036724759405248324,0.036724759405248324,0.21451527670191223,13.856622809458358,0.0,0.0,Command acceleration is high,1.0083381726575709,0.9847864616685492
20260607_122451,position_array,/pos_joint_group_controller/command,5.0,0.006208493486896206,0.03672052317988908,0.03672052317988908,0.21167361068485796,17.320608678768373,0.0,0.0,Command acceleration is high,1.0063043949739057,0.9683527451713766
20260607_123302,position_array,/pos_joint_group_controller/command,10.0,0.01515605759911701,0.061214688990354794,0.00270257462447061,0.016748217273353343,24.000049997793937,0.0,0.0005,Command acceleration is high,0.8765638556230828,0.9919678864700285
20260607_123417,position_array,/pos_joint_group_controller/command,10.0,0.016228171688615508,0.06334265082715979,0.0009489754913269981,0.005129245055569422,17.891614538443882,0.0,0.0,Command acceleration is high,0.8654108523826634,1.015877901781568
20260607_135603,joint_trajectory,/scaled_pos_joint_traj_controller/command,10.0,0.029554453026228174,0.08867032963771578,0.0029690708612411594,0.022737842692345005,20.78461194149661,0.0,0.0005,Command acceleration is high,0.6838039195687509,0.9316314980026353
20260607_135745,velocity_array,/joint_group_vel_controller/command,10.0,0.015645938254986922,0.034480867550342506,0.02715718515456129,0.07671379552700447,26.85270246272719,0.0,0.0,Command acceleration spikes,1.0888177740603833,1.3492327968456852
