noise_level,noise_type,trials,mean_position_error_m_mean,mean_position_error_m_std,mean_position_error_m_min,mean_position_error_m_max,final_position_error_m_mean,final_position_error_m_std,final_position_error_m_min,final_position_error_m_max,max_position_error_m_mean,max_position_error_m_std,max_position_error_m_min,max_position_error_m_max,final_joint_drift_norm_rad_mean,final_joint_drift_norm_rad_std,final_joint_drift_norm_rad_min,final_joint_drift_norm_rad_max,max_drift_norm_mean,max_drift_norm_std,max_drift_norm_min,max_drift_norm_max,mean_drift_norm_mean,mean_drift_norm_std,mean_drift_norm_min,mean_drift_norm_max
1e-05,actuator,5,8.032026182246277e-07,1.591053947084859e-09,8.014439038040492e-07,8.053222467936921e-07,9.348995366428112e-07,1.6181067051022154e-08,9.062036107323928e-07,9.548007745586606e-07,1.6154642283113266e-06,1.6067778606095826e-08,1.5976345937338105e-06,1.6435505093946339e-06,2.255308921006727e-06,3.628538490974452e-08,2.187236156222995e-06,2.2851410322265594e-06,0.5123553746685063,3.1841652603738916e-08,0.5123553310770013,0.5123554167834506,0.31012162815710526,7.378601689834286e-10,0.3101216269466113,0.31012162906150387
5e-05,actuator,5,8.272019409061108e-07,3.862671066303942e-09,8.231179179094558e-07,8.337730278479589e-07,9.370888607245952e-07,1.393635879743395e-07,8.07459336240409e-07,1.1855882423328414e-06,1.6220377717624726e-06,5.8715256027940774e-08,1.5771952644157014e-06,1.7355226075247347e-06,2.4995861593096063e-06,1.676347572643632e-07,2.1648014192349866e-06,2.5948897011208493e-06,0.5123551307435316,3.441757237729127e-07,0.512354707018275,0.5123556773702432,0.3101216276822033,3.633589585086948e-09,0.31012162079901007,0.31012163137666604
0.0001,actuator,5,8.91722102732188e-07,2.402237695069441e-09,8.891769349069314e-07,8.952618583639018e-07,9.8800716371543e-07,1.928007166970471e-07,6.088664857508098e-07,1.145018009821017e-06,1.8854113177786366e-06,2.3863797990934143e-08,1.8554537907237769e-06,1.9133979677160136e-06,2.9233948230023876e-06,5.705411513489785e-08,2.857181723647576e-06,3.004280460957882e-06,0.5123550446781171,2.6555469234632696e-07,0.5123548027259084,0.5123555463849497,0.31012163637697904,7.0589005873849575e-09,0.3101216269905996,0.31012164302670364
0.0005,actuator,5,1.931229132504403e-06,2.5119697660330096e-08,1.8982011199078917e-06,1.9525871962548234e-06,1.42135721709181e-06,5.948910256247474e-07,6.915383368176983e-07,2.225724685906895e-06,5.84025917520614e-06,1.0268433681812452e-07,5.7352051673182374e-06,6.023006996036809e-06,8.334972651144922e-06,3.0448672128193717e-06,4.113431653150725e-06,1.3574322526339878e-05,0.5123568131557391,2.1680330498810885e-06,0.5123537490662857,0.5123604343674871,0.3101217438669618,1.6395194598610656e-08,0.31012172619113837,0.31012177493948306
0.001,actuator,5,3.3858515630073673e-06,4.399582575062405e-08,3.3254567272102395e-06,3.460450679264727e-06,2.8746602676967136e-06,1.1187873974823585e-06,1.0040966377081727e-06,4.505723194277873e-06,1.0315635304938128e-05,4.825687938668006e-07,9.758531219639287e-06,1.1172223392146614e-05,1.5968151890159847e-05,4.4595148432768425e-06,1.0530001073604536e-05,2.323698551353359e-05,0.5123611490539915,4.296697287867112e-06,0.5123553752775956,0.5123654656674188,0.31012186441339085,1.020359081658974e-08,0.31012185094605277,0.3101218822522292
0.005,actuator,5,1.5217656154027132e-05,1.252025214656185e-07,1.503592984785829e-05,1.5404570744397666e-05,1.9057585622827484e-05,8.38742206878933e-06,4.732658228466479e-06,2.962890993712604e-05,4.7275395925583406e-05,4.557913194530345e-06,4.189551637104517e-05,5.5646479367404314e-05,6.994189848993297e-05,7.648035562529313e-06,6.242078546845901e-05,8.366507801890264e-05,0.5123814278486571,7.996747638097305e-06,0.5123739012334122,0.5123964586556817,0.31012249529899416,3.0353899418602223e-07,0.3101220648334971,0.3101229758741066
0.01,actuator,5,3.0444677570384923e-05,1.448266776891688e-07,3.0264308383350865e-05,3.0668089994853615e-05,3.2439534231305866e-05,1.9295032768269198e-05,1.306183723373095e-05,6.774095567823602e-05,9.246076703596745e-05,2.2869271893178575e-06,9.064024649983159e-05,9.687698954003379e-05,0.00012337018926210393,2.712574282228273e-05,9.809430200096376e-05,0.00016860880815456787,0.5124231341314489,2.5955806058191187e-05,0.5123743997569119,0.5124508103155845,0.3101232447812218,4.636584948959825e-07,0.3101225104114551,0.3101237501069693
