Joint,Initial angle (rad),Final angle (rad),Delta (rad)
$\theta_{1}$,0.000000,0.001316,1.316045e-03
$\theta_{2}$,-1.570796,-1.572113,-1.316601e-03
$\theta_{3}$,1.570796,1.574893,4.096587e-03
$\theta_{4}$,0.000000,-0.008099,-8.098964e-03
$\theta_{5}$,1.570796,1.575397,4.600326e-03
$\theta_{6}$,0.000000,-0.000000,-1.123817e-21
