Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000000734,-7.335981551e-07
theta_2,-1.570796327,-1.570797165,-8.385808234e-07
theta_3,1.570796327,1.570796994,6.672854509e-07
theta_4,0.000000000,0.000000624,6.244049464e-07
theta_5,1.570796327,1.570796943,6.162394308e-07
theta_6,0.000000000,-0.000000000,-9.535871360e-17
