Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000004203,-0.003687174,-3.691376709e-03
theta_2,-1.570494890,-1.508255005,6.223988533e-02
theta_3,1.570741057,1.445064425,-1.256766319e-01
theta_4,0.000527405,0.227737531,2.272101259e-01
theta_5,1.570763826,1.558821797,-1.194202900e-02
theta_6,0.000000000,0.000000000,0.000000000e+00
