step,time_s,cycle_period_s,cycle_work_s,state_read_s,state_age_s,controller_step_s,publish_s,sleep_s,command_step_norm_rad,command_step_max_abs_rad,command_velocity_norm_rad_s,command_accel_norm_rad_s2,feedback_velocity_norm_rad_s,tcp_pose_used,tcp_pose_age_s,tcp_fk_error_norm_m,deadline_miss,period_overrun
0,0.0,nan,0.0017434250003134366,4.9600002967054024e-06,0.0014521900002364418,0.0012880129997938639,4.88519999635173e-05,0.003366896999978053,0.0,0.0,0.0,0.0,2.6528486264131e-17,False,nan,nan,False,False
1,0.005,0.005200610999963828,0.0014966939997975715,6.7129994931747206e-06,0.0005228589998296229,0.0010838299995157286,5.2789000619668514e-05,0.0034078930002579,3.0429750382221552e-05,2.0676414800080423e-05,0.00608595007644431,1.217190015288862,8.283943967043727e-19,False,nan,nan,False,False
2,0.01,0.004985128000043915,0.0015396850003526197,6.45199997961754e-06,0.0016258549994745408,0.0011380519999875105,4.885099951934535e-05,0.003388948000065284,1.9569047431514247e-05,1.1756307629839924e-05,0.0039138094863028485,0.5032125031842399,4.5711361781840614e-21,False,nan,nan,False,False
3,0.015,0.005009123000490945,0.0013778309994449955,6.421999387384858e-06,0.0005141339997862815,0.0009838320002018008,4.610599989973707e-05,0.0035332590005054954,1.6552364723258732e-05,1.0200879030142218e-05,0.0033104729446517467,0.1217910181655459,1.4274102340772947e-22,False,nan,nan,False,False
4,0.02,0.004993533999368083,0.001436700999875029,6.401999598892871e-06,0.0009845139993558405,0.0010379539999121334,4.533399987849407e-05,0.0034856090005632723,1.0531227625098898e-05,6.324544341351768e-06,0.0021062455250197795,0.24943188372951255,7.876546382893157e-25,False,nan,nan,False,False
5,0.025,0.004988394000065455,0.0013344700000743615,6.082000254536979e-06,0.0004980330004400457,0.0009458119993723813,5.309999960445566e-05,0.0035844040003212285,2.1631985170228128e-05,1.6555441976207064e-05,0.004326397034045626,1.17181058727304,2.4595777067345308e-26,False,nan,nan,False,False
6,0.03,0.004979097000614274,0.00139900099929946,4.739000360132195e-06,0.0015886159999354277,0.0010151409996979055,4.3711999751394615e-05,0.003548867000063183,1.745607635812992e-05,1.3247588050324666e-05,0.0034912152716259836,0.17679613077063258,1.3572116188650564e-28,False,nan,nan,False,False
7,0.035,0.005023709999477433,0.0013429059999907622,6.090999704611022e-06,0.0005089539999971748,0.0009590859999661916,4.5405000491882674e-05,0.0035810680001304718,1.3623107907537106e-05,1.0116438017959695e-05,0.002724621581507421,0.16104663032798147,4.2381104053360235e-30,False,nan,nan,False,False
8,0.04,0.005003162000321026,0.00153051699999196,6.262000169954263e-06,0.0016250839998974698,0.0011171219994139392,4.827000066143228e-05,0.0033966319997489336,7.515825082008762e-06,6.173227699983255e-06,0.0015031650164017522,0.35307013132597026,2.3386177990965213e-32,False,nan,nan,False,False
9,0.045,0.005006999000215728,0.001334910999503336,6.262000169954263e-06,0.0005168879997654585,0.0009615909993954119,4.554499992082128e-05,0.003585104999729083,7.532773699947513e-06,6.750831023935345e-06,0.0015065547399895022,0.12520507409230258,7.302708144960574e-34,False,nan,nan,False,False
10,0.05,0.004997720999199373,0.0015090870001586154,6.200999450811651e-06,0.0016262569997707033,0.0011164520001329947,4.771000021719374e-05,0.0034106190005331882,2.5355045339099026e-05,1.670327889424783e-05,0.005071009067819806,1.0035053571365589,4.029683456762742e-36,False,nan,nan,False,False
11,0.055,0.0049952570007008035,0.0013822089995301212,5.550000423681922e-06,0.0005163369996807887,0.001002336999590625,4.618700040737167e-05,0.0035398210002313135,1.5132668520210603e-05,9.07792386373174e-06,0.0030265337040421207,0.481780216744507,1.2583329503199277e-37,False,nan,nan,False,False
12,0.06,0.004999445000066771,0.001517101999525039,6.052000571798999e-06,0.0016232710004260298,0.001124485999753233,6.0803999986092094e-05,0.003419605999624764,1.5762236314232545e-05,9.619776475844333e-06,0.003152447262846509,0.03004498766112495,6.943560007591258e-40,False,nan,nan,False,False
13,0.065,0.0050133609993281425,0.0013640850002047955,5.83099972573109e-06,0.0005236609995336039,0.000955400000748341,6.485199992312118e-05,0.0035494390003805165,1.267863719051921e-05,7.432905758442132e-06,0.0025357274381038416,0.1453477479629623,2.1682291138497895e-41,False,nan,nan,False,False
14,0.07,0.004991831000552338,0.0014950400000088848,5.781000254501123e-06,0.001615625999875192,0.001112263000322855,4.5886000407335814e-05,0.003424464999625343,2.482184543829356e-05,2.019986569352349e-05,0.004964369087658712,0.6119964581713325,1.1911036946760945e-43,False,nan,nan,False,False
15,0.075,0.004997471000024234,0.0013557689999288414,6.131999725766946e-06,0.0005129810006110347,0.0009540069995637168,7.989899950189283e-05,0.0035650179997901432,2.3025610756805178e-05,1.8036203715816034e-05,0.004605122151361035,0.0966602379393516,4.203895392974451e-45,False,nan,nan,False,False
16,0.08,0.004998572999284079,0.0014857330006634584,6.201999894983601e-06,0.001626778000172635,0.001069502999598626,4.56750003650086e-05,0.0034357059994363226,2.177563463396335e-05,1.3580168589655273e-05,0.00435512692679267,0.5031056346728306,0.0,False,nan,nan,False,False
