Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000000812,-8.121619430e-07
theta_2,-1.570796371,-1.570628285,1.680850983e-04
theta_3,1.570796371,1.570701838,-9.453296661e-05
theta_4,0.000000000,0.000369228,3.692281316e-04
theta_5,1.570796371,1.570772052,-2.431869507e-05
theta_6,0.000000000,-0.000000000,-4.884981308e-15
