Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000000104,1.037323059e-07
theta_2,-1.570796327,-1.570797105,-7.781345948e-07
theta_3,1.570796327,1.570797034,7.073261370e-07
theta_4,0.000000000,0.000000505,5.053203819e-07
theta_5,1.570796327,1.570796387,6.033226696e-08
theta_6,0.000000000,-0.000000000,-9.529736798e-17
