Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000004093,-0.000050217,-5.431037289e-05
theta_2,-1.570504069,-1.569377303,1.126766205e-03
theta_3,1.570743918,1.568900585,-1.843333244e-03
theta_4,0.000510155,0.004507339,3.997184278e-03
theta_5,1.570765018,1.570579886,-1.851320267e-04
theta_6,0.000000000,0.000000000,0.000000000e+00
