joint,initial_rad,final_rad,delta_rad
theta_1,0.0,6.708136561675712e-08,6.708136561675712e-08
theta_2,-1.5707963267948966,-1.5707961388119052,1.8798299139533015e-07
theta_3,1.5707963267948966,1.5707961642994377,-1.6249545886637407e-07
theta_4,0.0,-1.2884873624551265e-07,-1.2884873624551265e-07
theta_5,1.5707963267948966,1.570796257395299,-6.93995976241979e-08
theta_6,0.0,-1.669619120460764e-11,-1.669619120460764e-11
