Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000021545,0.000020565,-9.799059626e-07
theta_2,-1.570528984,-1.570359111,1.698732376e-04
theta_3,1.570791483,1.570700645,-9.083747864e-05
theta_4,0.000402677,0.000769993,3.673161264e-04
theta_5,1.570764303,1.570739508,-2.479553223e-05
theta_6,-0.000021056,-0.000024982,-3.926370482e-06
