Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000272773,-2.727727474e-04
theta_2,-1.570796327,-1.570503589,2.927381471e-04
theta_3,1.570796327,1.570260096,-5.362311110e-04
theta_4,0.000000000,-0.000002207,-2.207176287e-06
theta_5,1.570796327,1.571423322,6.269952378e-04
theta_6,0.000000000,-0.000398255,-3.982552754e-04
