Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,-0.000538882,-0.000539640,-7.585622370e-07
theta_2,-1.570838332,-1.570668578,1.697540283e-04
theta_3,1.571167231,1.571075201,-9.202957153e-05
theta_4,-0.000075896,0.000294289,3.701846363e-04
theta_5,1.569228172,1.569203973,-2.419948578e-05
theta_6,0.000000138,0.000000138,0.000000000e+00
