step,time_s,cycle_period_s,cycle_work_s,state_read_s,state_age_s,controller_step_s,publish_s,sleep_s,command_step_norm_rad,command_step_max_abs_rad,command_velocity_norm_rad_s,command_accel_norm_rad_s2,feedback_velocity_norm_rad_s,tcp_pose_used,tcp_pose_age_s,tcp_fk_error_norm_m,deadline_miss,period_overrun
0,0.0,nan,0.0020145779999438673,6.232000487216283e-06,0.0009635309997975128,0.0015698160004831152,5.26489993717405e-05,0.003160490000482241,0.0,0.0,0.0,0.0,6.881324225105345e-05,False,nan,nan,False,False
1,0.005,0.005300091999743017,0.0016414890005762572,9.487999705015682e-06,0.00023941699964780128,0.0011357539997334243,5.212700034462614e-05,0.0032190599995374214,3.016048684123511e-05,1.9755491814654746e-05,0.0060320973682470224,1.2064194736494045,6.710165325785056e-05,False,nan,nan,False,False
2,0.01,0.004985463000593882,0.0017131129998233519,9.346999831905123e-06,0.001329466999777651,0.0011775719995057443,5.246900036581792e-05,0.003106850000222039,1.77897296501967e-05,1.3469620178341302e-05,0.0035579459300393397,0.6976135221056525,6.547589873662218e-05,False,nan,nan,False,False
3,0.015,0.004907026000182668,0.0016759739992266987,7.735000508546364e-06,0.00013805800062982598,0.0011499009997351095,5.927100028202403e-05,0.003234840000004624,2.085946235157667e-05,1.5900454909845152e-05,0.004171892470315334,0.12485244126092632,6.317774386843666e-05,False,nan,nan,False,False
4,0.02,0.004995812999368354,0.001462975999857008,6.842999937362038e-06,0.0012359610000203247,0.0010817829997904482,4.9712999498296995e-05,0.0034521050001785625,1.761849326156803e-05,1.352488531081164e-05,0.003523698652313607,0.1331481954010805,6.103545456426218e-05,False,nan,nan,False,False
5,0.025,0.004986415000530542,0.0012573609992614365,5.810999937239103e-06,0.0002652570001373533,0.0008966260002125637,5.3820999710296746e-05,0.003654694000033487,1.4763656230112287e-05,1.1370005310373799e-05,0.0029527312460224573,0.12647089145890217,3.880498115904629e-05,False,nan,nan,False,False
6,0.03,0.0049751729993658955,0.001400079000632104,5.32000012753997e-06,0.001363649999802874,0.0010515759995541885,4.564500068227062e-05,0.003551540999978897,7.058715321509823e-06,5.8242665623708945e-06,0.0014117430643019646,0.34535749257156156,2.1412849093849218e-07,False,nan,nan,False,False
7,0.035,0.005019157000788255,0.0012260329995115171,5.521000275621191e-06,0.00022623299992119428,0.000876368999342958,5.433099977381062e-05,0.0036984159996791277,5.7318722427780035e-05,4.0178320931838485e-05,0.011463744485556007,2.0748892408650805,6.6865042391839324e-09,False,nan,nan,False,False
8,0.04,0.004987926999092451,0.0014864200002193684,5.239000529400073e-06,0.0013506859995686682,0.00105083500056935,6.600300002901349e-05,0.003458047000094666,3.8277939970362e-05,2.7973492376487386e-05,0.0076555879940724,0.7670445048151574,3.6896586480539284e-11,False,nan,nan,False,False
9,0.045,0.005017163000047731,0.0012209129999973811,5.6009994295891374e-06,0.0002485650002199691,0.0008748559994273819,5.248800061963266e-05,0.0036996790004195645,3.240652795943673e-05,2.3569671921963575e-05,0.006481305591887346,0.24012909385413372,1.152154760486468e-12,False,nan,nan,False,False
10,0.05,0.004983650000212947,0.0014091749999352032,5.259999852569308e-06,0.001308345999859739,0.0009407590005139355,4.565499966702191e-05,0.003532104999976582,2.7709664734984706e-05,2.0598444131492144e-05,0.005541932946996941,0.19346847735267841,3.5977873512425124e-14,False,nan,nan,False,False
11,0.055,0.005007664000004297,0.0011970790001214482,5.649999366141856e-06,0.0001913779997266829,0.0008590970001023379,4.629600061889505e-05,0.003733522000402445,2.3172805140283215e-05,1.5193821057746248e-05,0.004634561028056642,1.9578223923389355,2.649822761213727e-07,False,nan,nan,False,False
12,0.06,0.004994560000341153,0.001309428999775264,5.009000233258121e-06,0.00129032300083054,0.0009215930003847461,4.421199992066249e-05,0.0036358090001158416,1.246837824973748e-05,8.107570374393802e-06,0.002493675649947496,0.4370011246700748,1.1296610313848987e-09,False,nan,nan,False,False
13,0.065,0.005028122999647167,0.0012696049998339731,6.8130002546240576e-06,0.00013505199967767112,0.0008932499995353282,5.113600036565913e-05,0.003631060000770958,6.252962452649208e-06,4.832727770473368e-06,0.0012505924905298416,0.6065563679298411,3.14445274289187e-13,False,nan,nan,False,False
14,0.07,0.004967419999957201,0.0013935160004621139,5.711000085284468e-06,0.0012347790006970172,0.0009241379993909504,4.584599992085714e-05,0.003549797999767179,5.334654098091722e-06,4.7956785426179274e-06,0.0010669308196183443,0.10726140018136637,1.3405296947972503e-15,False,nan,nan,False,False
15,0.075,0.005008175000511983,0.0011974600001849467,5.28900000063004e-06,0.00012075599988747854,0.0008503799999743933,4.444299975148169e-05,0.003725435999513138,1.0358094417850996e-05,7.014792559489891e-06,0.0020716188835701995,0.3583659565997904,3.731414070137754e-19,False,nan,nan,False,False
16,0.08,0.004987817999790423,0.0013295660000949283,5.711000085284468e-06,0.0012540850002551451,0.0009332660001746262,4.4873999286210164e-05,0.003625569999712752,1.4090960020537605e-05,1.045472435761977e-05,0.002818192004107521,0.46207838380609356,1.5907602151066524e-21,False,nan,nan,False,False
17,0.085,0.005037730999902124,0.0012494860002334462,6.492000466096215e-06,0.00015097200048330706,0.0008872789994711638,5.4091000492917374e-05,0.0036500559999694815,3.075261237852412e-05,2.6311004575507724e-05,0.006150522475704823,1.1635059654124504,4.427951511759938e-25,False,nan,nan,False,False
