mode,shape,gamma,ns,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,runtime_s,summary_path
offline,line,80,1,0.0002599948402815112,3.048650046335167e-05,0.00015601107645034858,1.109542499994859,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns1\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,5,5.754439404639172e-05,1.1466142245628037e-06,5.630269339363274e-06,1.7731605999942985,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns5\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,10,3.422197842205288e-05,9.733744799904885e-07,4.117987193676766e-06,2.6699434999973164,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns10\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,20,3.190528841952823e-05,9.87325095379534e-07,4.234566826265353e-06,4.6908877000023494,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns20\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,40,3.178542633318043e-05,9.88469833490969e-07,4.240428944949463e-06,8.726031400001375,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,60,3.1748737201634714e-05,9.888529858483772e-07,4.242402293196925e-06,12.550548399995023,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,1,0.0002088011866512704,9.271887027142796e-06,4.986252423021844e-05,1.1135711000024457,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns1\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,5,5.3165865901144485e-05,7.086998525661786e-07,3.823750710538042e-06,1.7768225999971037,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns5\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,10,2.7591857704302693e-05,9.196992604223574e-07,4.8128482707155665e-06,2.6134670000028564,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns10\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,20,1.6692512065474416e-05,9.194723314021421e-07,4.815370884696159e-06,4.726279299997259,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns20\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,40,1.1349984121426512e-05,9.212695667702243e-07,4.8289263801096815e-06,8.796024300005229,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,60,1.132036365849918e-05,9.214757819642965e-07,4.830094162982248e-06,12.840912799998478,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,1,0.00040894233890952905,5.786266066948031e-05,0.00028144335210108774,1.0931720000007772,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns1\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,5,4.086708903579811e-05,1.386398641938628e-06,7.779223194031944e-06,1.76072959999874,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns5\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,10,2.3909258906907795e-05,1.2333876318808535e-06,6.623704329788726e-06,2.658306099998299,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns10\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,20,1.3214228267775483e-05,8.266301980630548e-07,4.8740581986687484e-06,4.650832300001639,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns20\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,40,7.182981340168099e-06,8.390374064940944e-07,4.932174337753419e-06,8.665898200000811,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,60,6.305863356689887e-06,8.391613121896793e-07,4.932680564375949e-06,12.561469799999031,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,80,1,0.00047334311899084505,1.2264560030190684e-06,6.861215183033064e-06,1.1213559999960125,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g80_ns1\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,80,5,0.0001180592622368611,2.652369226354883e-07,1.1204764911456734e-06,1.787975599996571,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g80_ns5\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,80,10,7.779180919983508e-05,2.7290418421371853e-07,1.1805334981400331e-06,2.657118300005095,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g80_ns10\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,80,20,6.808639509738501e-05,2.5913983496698627e-07,1.0579499562565703e-06,4.562403700001596,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g80_ns20\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,80,40,6.469495165579242e-05,2.5905147811356424e-07,1.0550763347069479e-06,8.59799130000465,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g80_ns40\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,80,60,6.455249843125593e-05,2.602768854070059e-07,1.069149545799726e-06,12.651638199997251,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g80_ns60\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,200,1,0.000369896043597615,4.675206811557108e-06,2.4966493150482918e-05,1.1122247000021162,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns1\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,200,5,0.00010286731357031056,1.7813247880346635e-07,5.168177880131824e-07,1.7697632000054,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns5\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,200,10,5.20904822773607e-05,1.776302482211323e-07,4.870691169563172e-07,2.6628839999975753,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns10\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,200,20,3.347290687420346e-05,1.775514397158196e-07,4.861228564654329e-07,4.694104800000787,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns20\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,200,40,2.4313478351875562e-05,1.7802522697483366e-07,4.867171647773098e-07,8.518709300005867,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns40\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,200,60,2.287371286388388e-05,1.7814981169072016e-07,4.867507804290654e-07,12.66744760000438,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g200_ns60\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,500,1,0.0007132436625478644,2.365539172412923e-05,6.480385782835049e-05,1.1095875999963027,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns1\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,500,5,7.947426010121797e-05,1.8865104912488628e-07,8.892420893395393e-07,1.77155330000096,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns5\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,500,10,4.543865184148182e-05,1.4699700018916287e-07,5.134792571013217e-07,2.6555017000064254,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns10\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,500,20,2.526202625937848e-05,1.50764313896207e-07,5.545463836411219e-07,4.702662299998337,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns20\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,500,40,1.4767283254532401e-05,1.5250058662814315e-07,5.69725761460379e-07,8.733457900001667,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns40\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,figure8,500,60,1.1786540864280594e-05,1.527247161002017e-07,5.736237345739614e-07,12.55969339999865,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\figure8\g500_ns60\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,80,1,0.0005480463874842081,2.439911529662759e-06,1.1506378238702543e-05,1.121076900002663,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g80_ns1\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,80,5,0.0001423790792989002,2.3618069141413368e-07,9.585834114907142e-07,1.7760730999943917,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g80_ns5\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,80,10,9.194810180325283e-05,2.3038751224141115e-07,9.056039803231361e-07,2.6608711000008043,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g80_ns10\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
