result_root,experiment,summary_path,mode,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_figure8_dlccznn,single/figure8/method2_dlccznn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_figure8_dlccznn\single\figure8\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,live,figure8,dlccznn,20.0,1,0.0011419987017144786,0.00014502696789872363,0.003874453126628662,0.007895743539623004,0.006870605400763452,0.17517252276901976,0.0004909981608320151,0.20853390612822847,0.0005975688596951475,1.2978975575792764,185.5105973999962,0.09275529869999809
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_figure8_pdnn5,single/figure8/method2_pdnn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_figure8_pdnn5\single\figure8\method2_pdnn\live\method2_pdnn_live_with_fb_summary.json,live,figure8,pdnn,500.0,5,0.0008370742964808421,0.0001448184784010543,0.0025959325599466646,0.0078990969098387,0.006878928164951503,0.12505244903866755,0.0008188881981214956,0.12748859947079055,0.0008410454775276081,1.8362393097344296,185.37411870000506,0.09268705935000253
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live,single/heart/method2_dlccznn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live\single\heart\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,live,heart,dlccznn,20.0,1,0.006796256286290068,0.0011147434353937192,0.0275568505773796,0.014068453658573255,0.009000062942504883,1.109973181853934,0.17553274941459512,2.810066986308586,0.1720613165740886,0.0,185.5237133999981,0.09276185669999905
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_heart_pdnn1,single/heart/method2_pdnn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_heart_pdnn1\single\heart\method2_pdnn\live\method2_pdnn_live_with_fb_summary.json,live,heart,pdnn,500.0,1,0.03726351262162395,0.050705716553630875,0.05101481368181634,0.29253474501051546,0.19098734855651855,6.005383893449907,7.809278018212074,8.22555467072122,10.03291466481457,0.0,185.41864180000266,0.09270932090000134
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live,single/heart/method2_pdnn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live\single\heart\method2_pdnn\live\method2_pdnn_live_with_fb_summary.json,live,heart,pdnn,500.0,5,0.0034586693221861733,0.00021765730749371396,0.008682536170765599,0.008224428820742667,0.007382158102700487,0.5260183802133563,0.019564204584877145,0.5355131481403702,0.02048432457981223,1.5646163849905397,185.51149379999697,0.09275574689999848
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_line_dlccznn,single/line/method2_dlccznn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_line_dlccznn\single\line\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,live,line,dlccznn,20.0,1,0.0006828574142522581,0.00022997570276129514,0.0012312973020756773,0.008044274306025315,0.007384638185612857,0.10378813986945279,0.025913262000148693,0.12591124883529617,0.04474662261667063,1.8276343979367242,185.3912468999988,0.0926956234499994
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_line_pdnn5,single/line/method2_pdnn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_line_pdnn5\single\line\method2_pdnn\live\method2_pdnn_live_with_fb_summary.json,live,line,pdnn,500.0,5,0.0004889347059887231,0.00014808945767413412,0.000738073632404855,0.007915382401567419,0.006957497796975076,0.0711159901750367,0.004265072230341422,0.07255233892838495,0.004386151569981868,1.9084131144204792,185.53025799999887,0.09276512899999943
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_small_circle_dlccznn,single/small_circle/method2_dlccznn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_small_circle_dlccznn\single\small_circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,live,small_circle,dlccznn,20.0,1,0.0006053593851877007,0.00014617480330786177,0.0018528012795987043,0.00790910344207352,0.006881173118017614,0.0890227208331784,0.0004686386212651694,0.10920680676067238,0.0004457848091765561,1.734294632777282,185.52276279999933,0.09276138139999966
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_small_circle_pdnn5,single/small_circle/method2_pdnn/live,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_live_small_circle_pdnn5\single\small_circle\method2_pdnn\live\method2_pdnn_live_with_fb_summary.json,live,small_circle,pdnn,500.0,5,0.0004654707135648615,0.00014486590715711203,0.0012468103333095532,0.007891627951955337,0.006867366260848939,0.06483662713375797,0.00045350408475164475,0.06616580561594167,0.00046554163714924,1.8852846700505599,185.42392390000168,0.09271196195000084
C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_offline,shape_screening/circle/dlccznn_offline,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\formal_offline\shape_screening\circle\dlccznn_offline\method2_dlccznn_offline_with_fb_summary.json,offline,circle,dlccznn,20.0,1,0.0005480463874842081,2.439911529662759e-06,0.0021463131879147714,1.1506378238702543e-05,6.555556286258479e-06,0.08792532812232057,0.0003318941936774612,0.1075031702621587,0.00037672401961718054,1.5864423543906518,0.9131450999993831,0.00022828627499984577
