case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,tau,weight_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg160_mu16_g640_ns80,160.0,16.0,640.0,80,0.85,4.0,0.005,1.0,ok,0.00011081177856805105,1.996605616454627e-06,3.1514198716632986e-06,0.5123140455230645,2.929643900002702,10.426818751621141
tg120_mu12_g640_ns20,120.0,12.0,640.0,20,0.85,4.0,0.005,1.0,ok,0.0001062111117993434,2.7190585737130085e-06,6.6497034636143915e-06,0.5123322669740736,1.064239199997246,10.672770056634628
tg120_mu12_g640_ns40,120.0,12.0,640.0,40,0.85,4.0,0.005,1.0,ok,0.00010685623157431298,2.7278396411979453e-06,6.62809944613866e-06,0.5123326618871668,1.7730381000001216,10.726821318562676
tg120_mu12_g640_ns80,120.0,12.0,640.0,80,0.85,4.0,0.005,1.0,ok,0.00010718590983292627,2.7298059100115655e-06,6.631302885345921e-06,0.5123328398831488,3.0179164000001037,10.75633240903763
tg120_mu16_g640_ns20,120.0,16.0,640.0,20,0.85,4.0,0.005,1.0,ok,0.00014635796714045811,2.610641512840863e-06,3.7665542206020367e-06,0.5122854707891034,1.1123616000004404,13.705877127245975
tg120_mu16_g640_ns40,120.0,16.0,640.0,40,0.85,4.0,0.005,1.0,ok,0.00014728931428556404,2.6043976691651802e-06,3.7905450915329618e-06,0.5122858180289706,1.840056099998037,13.78997889830364
tg120_mu16_g640_ns80,120.0,16.0,640.0,80,0.85,4.0,0.005,1.0,ok,0.0001477583525011904,2.6003033942172463e-06,3.787403580928371e-06,0.5122859815003755,3.154044899998553,13.829817327968398
tg220_mu12_g2560_ns20,220.0,12.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.133181914940554,0.0502949180130499,0.4548920557877101,0.6019434873023211,1.0085935999995854,89789.21000484898
tg220_mu8_g2560_ns20,220.0,8.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.11622566854111248,0.13254853883039425,0.45759084457208754,0.49298690719826854,1.0291973999992479,99958.13162744755
tg120_mu8_g2560_ns20,120.0,8.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.12423150449543852,0.10442175258818599,0.482707465901868,0.582879515426679,1.0975727999975788,100755.6408744744
tg120_mu12_g2560_ns20,120.0,12.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.1356611082258662,0.1528988966589486,0.6903981027397917,0.7601914523652661,1.3193490999983624,140927.74328890076
tg120_mu16_g2560_ns20,120.0,16.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.13698886618659817,0.0929099005393796,0.7594468442358122,0.7714406103148916,1.1935542999999598,143682.7297941198
tg160_mu8_g2560_ns20,160.0,8.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.19445239031548275,0.17477064634335723,0.664623493038547,0.7637945917788576,0.9788895000019693,144996.75178215106
tg160_mu12_g2560_ns20,160.0,12.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.15799852465621705,0.1712253835579811,0.7943967127067741,0.8420409106901108,1.0387895000021672,161680.20531099045
tg220_mu16_g2560_ns20,220.0,16.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.13790293879421364,0.16040578810032724,0.844098942121595,0.8773924696601942,1.018800800000463,166243.98198340565
tg160_mu16_g2560_ns20,160.0,16.0,2560.0,20,0.85,4.0,0.005,1.0,ok,0.13798538395986085,0.15986324319402337,1.1052060660509768,1.1236244199599124,1.0484885000005306,207112.18737117184
