name,method,kp,lam,gamma,reg,power,clip,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_task_residual,final_solver_residual,min_boundary_slack,runtime_s
m1_pos_best_live,method1,120,0.1,10,0.01,1.0,1.0,0.0006851562795576691,0.00038272365869947584,0.2998454753038015,0.05593444661612742,0.042001983397926136,1.5588176202968487,184.75503639999806
m2_drift_best_live,method2,80,1.0,50,0.0001,1.0,1.0,0.003420562007087099,0.0023939841041644657,0.08704344851289653,0.25500114531279,0.20577497448732418,1.3320484540502093,186.02753069999744
m2_pos_best_live,method2,80,0.1,50,1e-08,0.8,1.0,0.002550504070652221,0.0012947903851633475,0.3008779618595847,0.19121185703724256,0.12244269981796153,1.260135630047969,186.3765448999984
