experiment,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
pdnn_accuracy_heart_inner1,heart,pdnn,500.0,1,0.039601343030845455,0.047809509609420764,0.05543129565969432,0.25520058228297293,0.15911467889833442,6.373290640489379,8.684469947536204,8.570111835883752,10.53937638526316,0.0,1.0404519000003347,0.00026011297500008366
pdnn_accuracy_heart_inner5,heart,pdnn,500.0,5,0.00161069046720845,4.870223199174415e-05,0.003976132083824227,0.00025335107441457007,0.00017070874334135233,0.25770677580998175,0.00742746004759252,0.2622207709195653,0.0075764239040180936,1.8596990101658764,2.1299142999996548,0.0005324785749999136
pdnn_accuracy_heart_inner20,heart,pdnn,500.0,20,0.0016109047815308798,4.8691218648892705e-05,0.00397626010233329,0.00025356136047976715,0.00017061868704826288,0.25774095955535886,0.007432192638574866,0.26232240020012293,0.007582006172366087,1.85965345720451,4.951251899998169,0.0012378129749995423
