step,time_s,cycle_period_s,cycle_work_s,state_read_s,state_age_s,controller_step_s,publish_s,sleep_s,command_step_norm_rad,command_step_max_abs_rad,command_velocity_norm_rad_s,command_accel_norm_rad_s2,feedback_velocity_norm_rad_s,tcp_pose_used,tcp_pose_age_s,tcp_fk_error_norm_m,deadline_miss,period_overrun
0,0.0,nan,0.0017376989999320358,7.433999599015806e-06,0.0013134860000718618,0.0013036279997322708,5.110599977342645e-05,0.0033692300003167475,0.0,0.0,0.0,0.0,7.643266872037202e-05,False,nan,nan,False,False
1,0.005,0.0051961259996460285,0.0014713210002810229,6.381999810400885e-06,0.0009027579999383306,0.0010423190005894867,4.814000021724496e-05,0.00343803800024034,1.6890549144499526e-05,1.463601023067842e-05,0.003378109828899905,0.6756219657799809,7.392344559775665e-05,False,nan,nan,False,False
2,0.01,0.004991964000510052,0.0015351299998656032,8.146000254782848e-06,0.001590223999301088,0.0011272779993305448,7.501099935325328e-05,0.0033831959999588435,1.0152445016743654e-05,8.67179170991515e-06,0.0020304890033487305,0.27184893224814466,7.04512422089465e-05,False,nan,nan,False,False
3,0.015,0.004993396999452671,0.0014715910001541488,6.241999471967574e-06,0.0010372590004408266,0.0009975849998227204,4.5945999772811774e-05,0.003459860000475601,1.1637608939615368e-05,6.687936100702174e-06,0.002327521787923074,0.7548414642760155,6.831188511569053e-05,False,nan,nan,False,False
4,0.02,0.00500479800030007,0.001465760999963095,9.106999641517177e-06,0.0016247080002358416,0.0010928430001513334,4.726799943455262e-05,0.003469186000074842,4.074374132951076e-06,2.317602109336292e-06,0.0008148748265902152,0.30323531539453336,5.461208274937235e-05,False,nan,nan,False,False
5,0.025,0.005026357999668107,0.001450773000215122,7.072999324009288e-06,0.0010743389993876917,0.0010286040005667019,4.782900032296311e-05,0.0034462740004528314,5.294753872035143e-05,3.573025025072063e-05,0.010589507744070288,1.9606031149643361,5.086609598947689e-05,False,nan,nan,False,False
6,0.03,0.0049761050004235585,0.0014840949997960706,8.43499947222881e-06,0.001625630000489764,0.001093464999939897,6.2647999584442e-05,0.0034439600003679516,4.367402143713294e-05,2.929018903330416e-05,0.00873480428742659,0.3727397760447143,4.8730624257586896e-05,False,nan,nan,False,False
7,0.035,0.005006530999708048,0.0014809189997322392,6.3520001276629046e-06,0.000517928000590473,0.0010696299996197922,4.82300001749536e-05,0.003429103000598843,4.100345014513669e-05,2.7445544699800095e-05,0.008200690029027336,0.10703230091229837,4.744681064039469e-05,False,nan,nan,False,False
8,0.04,0.004988478000086616,0.0014836139998806175,8.424999577982817e-06,0.001616493000256014,0.0011004779998984304,4.6657999519084115e-05,0.003437989000303787,3.6630136870187615e-05,2.4289139362476675e-05,0.007326027374037524,0.17845621564712916,4.564210757962428e-05,False,nan,nan,False,False
9,0.045,0.004995280000002822,0.001454119999834802,5.910999789193738e-06,0.0005009559999962221,0.0009862239994617994,4.7339000047941227e-05,0.003475719000562094,2.563974301270306e-05,1.7155103814836536e-05,0.005127948602540611,0.4455107154240497,4.4513213651953265e-05,False,nan,nan,False,False
10,0.05,0.005075009999927715,0.0012833700002374826,6.111999937274959e-06,4.5124000280338805e-05,0.0009240979998139665,4.4362999688019045e-05,0.0035688930001924746,2.077519387593666e-05,1.387827833543298e-05,0.0041550387751873325,0.22185441038622408,4.298186242970569e-05,False,nan,nan,False,False
11,0.055,0.0049244780002482,0.0014413349999813363,5.550999958359171e-06,0.0010307370002919924,0.0009754439997777808,4.463300047063967e-05,0.00348675999975967,1.9383525747291457e-05,1.3455357955827196e-05,0.0038767051494582915,0.27211828275851596,4.1438872423009756e-05,False,nan,nan,False,False
12,0.06,0.004999007000151323,0.0014281610001489753,8.26599989522947e-06,0.0016143380007633823,0.0010645799993653782,4.3961999836028554e-05,0.003497178999168682,1.1573645964170086e-05,7.833467427609264e-06,0.0023147291928340167,0.3932352410988152,4.050567440760086e-05,False,nan,nan,False,False
13,0.065,0.005001151999749709,0.0014037849996384466,6.092000148782972e-06,0.0010413469999548397,0.0009902720003083232,4.5554999815067276e-05,0.003521594000631012,3.4957876317451313e-05,1.9823827621001655e-05,0.0069915752634902625,0.9677326111108917,1.674504346738547e-05,False,nan,nan,False,False
14,0.07,0.00499586099977023,0.001419113999872934,5.900999894947745e-06,0.0016047600001911633,0.0010032459995272802,4.570599958242383e-05,0.0035072380005658488,2.3518551492118998e-05,1.4379270123694672e-05,0.004703710298423799,0.4895089308212755,5.228907298261694e-07,False,nan,nan,False,False
15,0.075,0.004999859000236029,0.0014040160003787605,5.9809999584103934e-06,0.0010341329998482252,0.0009934680001606466,4.59060001958278e-05,0.0035413409996181144,1.962286732722847e-05,1.1749112152539807e-05,0.003924573465445694,0.1653366498146362,2.885346628290417e-09,False,nan,nan,False,False
16,0.08,0.005021850000048289,0.0014809889999014558,7.904000085545704e-06,0.0016395060001741513,0.0009928270001182682,4.623700078809634e-05,0.003426477999710187,2.1017229100817116e-05,1.4663604814391107e-05,0.0042034458201634225,0.7457077894910585,9.009955281860269e-11,False,nan,nan,False,False
17,0.085,0.004979221000212419,0.0013852499996573897,5.910999789193738e-06,0.0010315989993614494,0.0009819769993555383,4.521400023804745e-05,0.003675572999782162,1.9432040601212347e-05,1.3313180113754038e-05,0.0038864081202424692,0.8325322700242536,6.023590346617995e-10,False,nan,nan,False,False
18,0.09,0.005210552999415086,0.001467714000682463,6.561999725818168e-06,0.0018033930000456166,0.0010826040006577387,6.315800055745058e-05,0.0032672089992047404,4.779651196577212e-05,3.2186295059633e-05,0.009559302393154424,1.6170313785968695,2.799906044916362e-15,False,nan,nan,False,False
19,0.095,0.0048103440003615106,0.0014474869994955952,6.110999493103009e-06,0.0009222349999618018,0.0009917239995047566,4.575499951897655e-05,0.0034566630001791054,2.370661460034105e-05,1.5552415495445615e-05,0.004741322920068211,1.030110771736861,8.566855164282238e-17,False,nan,nan,False,False
20,0.1,0.004973870999492647,0.0014318870007627993,5.539999619941227e-06,0.0013928939997640555,0.0010627770006976789,4.4473000343714375e-05,0.003503440999338636,3.691905911545859e-05,2.5686042451990143e-05,0.007383811823091719,0.9949092181269323,4.727247761838098e-19,False,nan,nan,False,False
21,0.105,0.005029173000366427,0.0013417090003713383,6.051000127627049e-06,0.0008786230000623618,0.0009799119998206152,4.661700040742289e-05,0.003551300999788509,2.4092562662020707e-05,1.5614521629492218e-05,0.004818512532404142,0.5225088091266585,1.4761585715051074e-20,False,nan,nan,False,False
22,0.11,0.004944555999827571,0.001167243000054441,4.307999915909022e-06,0.001941189999342896,0.000817228000414616,4.459400042833295e-05,0.003795356000409811,2.3179225424366388e-05,1.4695248145335735e-05,0.004635845084873277,0.041813002365639215,8.145542311220206e-23,False,nan,nan,False,False
23,0.115,0.005033612000261201,0.0013320099997145007,6.1920000007376075e-06,0.0008589550006945501,0.0009739609995449428,4.458399962459225e-05,0.0035991909999211202,6.603149292817682e-06,4.529332043201606e-06,0.0013206298585635365,0.8292647995611995,2.5435756898788474e-24,False,nan,nan,False,False
24,0.12,0.005001612000341993,0.001546081000014965,5.94100038142642e-06,0.0019751829995584558,0.001181129000542569,4.3631999687931966e-05,0.0033820039998317952,9.726850420948442e-06,7.19210993852269e-06,0.0019453700841896883,0.39299326271124585,1.4035622766873905e-26,False,nan,nan,False,False
25,0.125,0.005000520000066899,0.0013594119991466869,5.699999746866524e-06,0.000854758000059519,0.000982237000243913,4.5976000365044456e-05,0.0035722500006158953,2.2754014986057228e-05,1.658363276717096e-05,0.004550802997211446,0.5244778027540368,4.382846959645456e-28,False,nan,nan,False,False
26,0.13,0.005010979999497067,0.0015095329999894602,6.150999979581684e-06,0.0019625900004029972,0.0011448710001786822,4.468300085136434e-05,0.0034065489999193233,1.5552172004046388e-05,1.3948326914336384e-05,0.003110434400809277,0.551416637633467,2.41848464687395e-30,False,nan,nan,False,False
27,0.135,0.004988368000340415,0.0013404659994193935,6.00099974690238e-06,0.0008558809995520278,0.00097056499998871,4.503399941313546e-05,0.0035817980005958816,4.0407849674488043e-05,2.319850822322244e-05,0.008081569934897611,1.309988134775652,7.552105103929059e-32,False,nan,nan,False,False
28,0.14,0.004999026999939815,0.0014306450002550264,5.961000169918407e-06,0.0019754340000872617,0.0010639590000209864,4.531499962467933e-05,0.0034954959992319345,2.7526269385989505e-05,2.05251034940474e-05,0.005505253877197901,0.6612707003221964,1.284249810851179e-05,False,nan,nan,False,False
29,0.145,0.0049999590000879834,0.0013295159997142036,6.021999979566317e-06,0.0007483089993911562,0.0009599849990991061,5.107600009068847e-05,0.003593870000258903,3.0625752260270385e-05,2.2383518481726918e-05,0.006125150452054076,0.12862026770928497,1.9791736121987924e-05,False,nan,nan,False,False
30,0.15,0.004989399999431043,0.0014019010004631127,5.8310006352257915e-06,0.0019444959998509148,0.001003266000225267,4.628600072464906e-05,0.0035335369993845234,5.496779332651897e-05,3.5100989016513664e-05,0.010993558665303795,2.3216117203469424,1.4722646710652043e-06,False,nan,nan,False,False
31,0.155,0.005006150000554044,0.0013821049997204682,5.951000275672413e-06,0.0008473440002489951,0.0010186350000367383,4.7387999984493945e-05,0.0035970560002169805,5.020718760639213e-05,3.390248832725472e-05,0.010041437521278425,0.22973275632562767,8.124055206337744e-09,False,nan,nan,False,False
32,0.16,0.005090929999823857,0.0017105480001191609,8.646999958727974e-06,0.0020639490003304672,0.001273871000194049,5.782799962616991e-05,0.0032052729993665707,4.6412004284189576e-05,3.266946349030015e-05,0.009282400856837916,0.18051690186629957,4.48290814192287e-11,False,nan,nan,False,False
33,0.165,0.005027440000048955,0.0015330670003095292,8.436000825895462e-06,0.000970604999565694,0.0010776650005936972,5.213700023887213e-05,0.00333317199965677,4.1964520990507165e-05,3.148070030942347e-05,0.008392904198101432,0.2389312105437355,1.3998597203288e-12,False,nan,nan,False,False
34,0.17,0.004978879999725905,0.0017935930000021472,8.807000085653272e-06,0.002047578000201611,0.001364451999506855,5.258900000626454e-05,0.0031087229999684496,3.813932413925252e-05,3.066780497714546e-05,0.007627864827850505,0.25017694552199704,9.921187302097678e-05,False,nan,nan,False,False
35,0.17500000000000002,0.0050136150002799695,0.0016159409997271723,8.727000022190623e-06,0.0009634610005377908,0.0011459830002422677,6.219700026122155e-05,0.0032552669999859063,3.65375644591217e-05,2.9896435631020175e-05,0.00730751289182434,0.08726187356999521,9.521160245640203e-05,False,nan,nan,False,False
36,0.18,0.0049824759998955415,0.0017433900002288283,8.515999979863409e-06,0.0014995940000517294,0.0013237149996712105,5.156600036571035e-05,0.00314909799999441,3.1073296747211295e-05,2.7591904988611963e-05,0.006214659349442259,0.46741259897124343,8.952889766078442e-05,False,nan,nan,False,False
