Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,-0.000111426,-0.128782541,-1.286711143e-01
theta_2,-1.568789840,-1.491591334,7.719850540e-02
theta_3,1.567312241,1.389952421,-1.773598194e-01
theta_4,0.006840952,0.403923869,3.970829169e-01
theta_5,1.570437551,1.143983603,-4.264539480e-01
theta_6,0.000000000,-0.000000000,-2.176037128e-14
