Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000018217,-0.000032780,-5.099681948e-05
theta_2,-1.570205450,-1.569076538,1.128911972e-03
theta_3,1.570879579,1.569055200,-1.824378967e-03
theta_4,0.000511036,0.004388439,3.877402167e-03
theta_5,1.570748925,1.570520878,-2.280473709e-04
theta_6,0.000000000,0.000000000,0.000000000e+00
