experiment,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
pdnn_accuracy_heart_inner1,heart,pdnn,50.0,1,0.01121111768332853,0.0127544043590693,0.020774050226377426,0.07079350589526487,0.0442800313177667,1.7944212361447376,2.0334650192228594,1.8307398098035006,2.06542596733285,1.8661868897408114,1.0350025999978243,0.0002587506499994561
pdnn_accuracy_heart_inner5,heart,pdnn,50.0,5,0.011169583809309942,0.012775082055548077,0.020697467815188407,0.07090876594829568,0.04435073142230439,1.7877766885641604,2.0367713839878587,1.8247547700967266,2.069012924100841,1.8662838890963553,2.1465494000003673,0.0005366373500000918
pdnn_accuracy_heart_inner20,heart,pdnn,50.0,20,0.011161157703425363,0.012776717480192738,0.020692148743092543,0.07091789533166289,0.0443557116708555,1.786428605839164,2.037033756945275,1.8235474099009088,2.0693205242068573,1.8656027910782447,4.605333499999688,0.001151333374999922
