Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000000004,3.737181843e-09
theta_2,-1.570796327,-1.570796059,2.674310071e-07
theta_3,1.570796327,1.570796686,3.591587829e-07
theta_4,0.000000000,0.000000131,1.307955813e-07
theta_5,1.570796327,1.570796341,1.376217562e-08
theta_6,0.000000000,-0.000000000,-3.025147943e-24
