joint,initial_rad,final_rad,delta_rad
theta_1,0.0,1.0092714707038914e-07,1.0092714707038914e-07
theta_2,-1.5707963267948966,-1.5707960429418903,2.8385300621103227e-07
theta_3,1.5707963267948966,1.5707960806086165,-2.46186280028482e-07
theta_4,0.0,-1.9489883396922797e-07,-1.9489883396922797e-07
theta_5,1.5707963267948966,1.5707962221187408,-1.0467615574327738e-07
theta_6,0.0,-1.7661267230903046e-11,-1.7661267230903046e-11
