trajectory,solver_gamma,drift_gain,task_gain,activation_power,clean_mean_position_error_m,noise_mean_position_error_m,position_ratio,clean_final_joint_drift_norm_rad,noise_final_joint_drift_norm_rad,drift_ratio,clean_final_solver_residual,noise_final_solver_residual,residual_ratio
small_circle,4096.0,60.0,420.0,0.75,0.00039966745185288224,0.0003965490349942614,0.9921974710620951,0.00024388286766481124,0.00034597063912378755,1.4185934519979655,0.02715167645475527,0.07110542239680362,2.6188225436205212
line,4096.0,60.0,420.0,0.75,0.00037487299563980834,0.0003729239911026787,0.9948008937432178,0.00027880261994919667,0.0009436426801856689,3.3846263007055644,0.03643831097796165,0.018899183655138867,0.5186624502592706
circle,4096.0,60.0,340.0,0.72,0.000437729867256302,0.00043786688362377324,1.0003130158065978,0.00043927833112265466,0.0010365253046116505,2.359609457545115,0.04586256698208501,0.02169322687408579,0.47300507367064015
ellipse,4096.0,60.0,380.0,0.75,0.00043431518713549347,0.0004315276224845741,0.9935817011850204,0.0002506150671188041,0.0009030688891462853,3.603410200066644,0.017528643511130187,0.04912370573159434,2.8024818749039073
figure8,4608.0,60.0,380.0,0.75,0.00042036032504916,0.00042016783575983795,0.9995420850212267,0.0002120918063825086,0.0008851463651723169,4.173411412112504,0.024663322339039555,0.12115458772422404,4.9123384943336905
