case,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_position_error_m,mean_inner_residual_norm,min_boundary_slack,wall_clock_run_s,path
baseline_clip_offline,4.35701611563229e-06,3.255219447339446e-06,1.0424814624521482e-05,1.6443909561366703e-05,,,,C:\Users\lyx\Desktop\sci\code\experiments_parameter_tuning\final_live_results\method2\offline\method2_offline_best_summary.json
baseline_clip_live,0.00020158995537419505,9.176250836825821e-05,0.0009561883887265729,0.00035866995805783504,,,,C:\Users\lyx\Desktop\sci\code\experiments_parameter_tuning\final_live_results\method2\live\method2_live_best_summary.json
elncp_offline,0.0006730135140309701,0.00026095082113090657,0.0014498751149449839,0.000990543191577056,0.16853329603328382,1.8612017220090225,17.493724900006782,C:\Users\lyx\Desktop\sci\code\project_method2_dlccznn_elncp_bounds\results\final_best_elncp\offline\method2_scheme_b_positive_dlccznn_elncp_summary.json
elncp_live,0.0011044779808721743,0.0003533453059702658,0.002443879743375832,0.0016316793189078797,0.21844441517012267,1.5698486464573287,743.3058006000065,C:\Users\lyx\Desktop\sci\code\project_method2_dlccznn_elncp_bounds\results\final_ns80_elncp_retry\live\method2_scheme_b_positive_dlccznn_elncp_summary.json
