experiment,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_task_residual,final_solver_residual,min_boundary_slack,runtime_s
method1_live,0.0014114549589990687,0.0007722269121655161,0.2704484825669383,0.15588132385481637,0.09613512109633573,1.2263504181902984,185.0297359999995
method1_offline,0.00019185709810718904,0.0001165791432097916,0.01007367323271292,0.023291383785869178,0.018780843102858203,1.809880015153997,0.948247999999694
method2_live,0.010363036195303906,0.00507254788684061,0.017067689756770896,1.7050401642311468,0.7937622025286468,0.0,185.00910199999998
method2_offline,0.0033979932081063973,0.00038603152143838184,0.002055882410025577,0.5529558969720608,0.06537221330636804,0.0,1.0579800999994404
