Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000583595,5.835954216e-04
theta_2,-1.570796371,-1.570535421,2.609491348e-04
theta_3,1.570796371,1.570623279,-1.730918884e-04
theta_4,0.000000000,0.000157076,1.570755849e-04
theta_5,1.570796371,1.570574522,-2.218484879e-04
theta_6,0.000000000,-0.000747022,-7.470216951e-04
