Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.046076043,-4.607604335e-02
theta_2,-1.570796327,-1.629889915,-5.909358777e-02
theta_3,1.570796327,1.682314600,1.115182735e-01
theta_4,0.000000000,-0.170354896,-1.703548962e-01
theta_5,1.570796327,1.419536923,-1.512594039e-01
theta_6,0.000000000,-0.000000000,-4.655083131e-15
