Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000000016,-1.569957673e-08
theta_2,-1.570796327,-1.570796067,2.598607562e-07
theta_3,1.570796327,1.570796708,3.807267615e-07
theta_4,0.000000000,0.000000107,1.070780515e-07
theta_5,1.570796327,1.570796331,4.299284928e-09
theta_6,0.000000000,-0.000000010,-1.019411819e-08
