Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000000025,2.471948640e-08
theta_2,-1.570796327,-1.570796069,2.582811358e-07
theta_3,1.570796327,1.570796702,3.753276705e-07
theta_4,0.000000000,0.000000106,1.062523982e-07
theta_5,1.570796327,1.570796353,2.571077373e-08
theta_6,0.000000000,0.000000003,2.742321561e-09
