Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000434207,0.000381969,-5.223762128e-05
theta_2,-1.560145974,-1.559023857,1.122117043e-03
theta_3,1.575557232,1.573751807,-1.805424690e-03
theta_4,0.000185550,0.004041732,3.856182317e-03
theta_5,1.570243716,1.570028424,-2.152919769e-04
theta_6,0.000000000,0.000000000,0.000000000e+00
