Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000000359,-3.589138977e-07
theta_2,-1.570796327,-1.570796496,-1.687568238e-07
theta_3,1.570796327,1.570796851,5.245388273e-07
theta_4,0.000000000,-0.000000372,-3.722207945e-07
theta_5,1.570796327,1.570796938,6.110241064e-07
theta_6,0.000000000,-0.000000202,-2.018152290e-07
