Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.007834827,0.007833452,-1.374632120e-06
theta_2,-1.562554479,-1.562384963,1.695156097e-04
theta_3,1.568715811,1.568620920,-9.489059448e-05
theta_4,-0.002392192,-0.002021499,3.706929274e-04
theta_5,1.567736745,1.567712665,-2.408027649e-05
theta_6,-0.000000000,-0.000000000,0.000000000e+00
