Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000003361,3.361334003e-06
theta_2,-1.570796327,-1.570811926,-1.559945527e-05
theta_3,1.570796327,1.570806289,9.962172956e-06
theta_4,0.000000000,0.000005900,5.900049199e-06
theta_5,1.570796327,1.570812945,1.661795676e-05
theta_6,0.000000000,-0.000019809,-1.980910294e-05
