Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,-0.000000008,-8.341937784e-09
theta_2,-1.570796327,-1.570795733,5.937596224e-07
theta_3,1.570796327,1.570797264,9.369724887e-07
theta_4,0.000000000,0.000003705,3.705137370e-06
theta_5,1.570796327,1.570797276,9.488597308e-07
theta_6,0.000000000,0.000000000,9.536783870e-17
