step,time_s,cycle_period_s,cycle_work_s,state_read_s,state_age_s,controller_step_s,publish_s,sleep_s,command_step_norm_rad,command_step_max_abs_rad,command_velocity_norm_rad_s,command_accel_norm_rad_s2,feedback_velocity_norm_rad_s,tcp_pose_used,tcp_pose_age_s,tcp_fk_error_norm_m,deadline_miss,period_overrun
0,0.0,nan,0.0015847229988139588,4.067000190843828e-06,0.0003940560000046389,0.0011017999986506766,4.9713000407791696e-05,0.003524338000715943,0.0,0.0,0.0,0.0,0.0,False,nan,nan,False,False
1,0.005,0.005180493999432656,0.0014495600007649045,5.609999789157882e-06,0.0016656730003887787,0.0010227919992757961,4.5284001316758804e-05,0.0034684729998843977,4.8742396374861185e-05,4.18226848766529e-05,0.009748479274972239,1.9496958549944479,0.0,False,nan,nan,False,False
2,0.01,0.004981751999366679,0.0013718139998672996,5.29999852005858e-06,0.0005529539994313382,0.0009190379987558117,4.4022999645676464e-05,0.003568671001630719,4.1814998470381106e-05,3.599072819521526e-05,0.008362999694076223,0.28141344148248626,0.0,False,nan,nan,False,False
3,0.015,0.005009284001062042,0.0015447669993591262,6.141999620012939e-06,0.001665603000219562,0.0012961119991814485,1.4918001397745684e-05,0.003370370999618899,2.7871126572478523e-05,2.385095966542094e-05,0.005574225314495704,0.5581886394301593,0.03385308646763211,False,nan,nan,False,False
4,0.02,0.00497904700023355,0.0013493019996531075,5.359999704523943e-06,0.0005146419989614515,0.001020718000290799,1.3716000466956757e-05,0.00366816699897754,8.813701343264607e-06,5.435697719047283e-06,0.0017627402686529216,0.9180809398406707,0.007033023406465054,False,nan,nan,False,False
5,0.025,0.005146068999238196,0.001160019000963075,8.375998731935397e-06,0.0018204830012109596,0.0009537529986118898,1.6250000044237822e-05,0.0036814109989791177,7.324785641645896e-05,6.436480669561873e-05,0.014649571283291793,3.173647267165377,0.0015165702352233788,False,nan,nan,False,False
6,0.03,0.0049530090000189375,0.0017808280008466681,7.964999895193614e-06,0.0006413979990611551,0.001305180001509143,6.834700070612598e-05,0.003141141998639796,6.589696954558391e-05,5.810980487841566e-05,0.013179393909116783,0.30265317704415295,0.0017717950546771786,False,nan,nan,False,False
7,0.035,0.00505315500049619,0.00173002399969846,9.467999916523695e-06,0.001841331999457907,0.0013102289995003957,5.077499918115791e-05,0.003132194999125204,5.9568068630451877e-05,5.266817017375876e-05,0.011913613726090374,0.25481219278676814,0.05509807237786256,False,nan,nan,False,False
8,0.04,0.004992051999579417,0.0016976030001387699,8.205999620258808e-06,0.000691463001203374,0.0012607660009962274,5.102499926579185e-05,0.0031720290007797303,8.074368915717617e-06,5.745630502929089e-06,0.001614873783143523,2.498144255904182,0.008169014561305508,False,nan,nan,False,False
9,0.045,0.004996169000150985,0.0018409309996059164,7.943999662529677e-06,0.001788653999028611,0.0014086230003158562,5.250799949862994e-05,0.003036135000002105,6.939880398854889e-05,5.819682683889098e-05,0.013879760797709778,2.851879647441108,0.007657707886990061,False,nan,nan,False,False
