experiment,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
pdnn_accuracy_heart_inner1,heart,pdnn,10.0,1,0.021243976566793193,0.011523707851135543,0.04359655660901318,0.06021414209187488,0.03372081015090478,3.399632684474471,1.8404265917064797,3.500805037328151,1.885664874288862,1.8805911702482263,1.0415542000009737,0.0002603885500002434
pdnn_accuracy_heart_inner5,heart,pdnn,10.0,5,0.02120190727351521,0.011480812126860198,0.04360570417802193,0.05994615663130528,0.03357151836269745,3.3928994283735494,1.833568335449469,3.4944584836225414,1.8789529552241035,1.880146960211177,2.0543498000006366,0.0005135874500001591
pdnn_accuracy_heart_inner20,heart,pdnn,10.0,20,0.021193642354491067,0.011472258153553962,0.04360912536318267,0.05989398811203662,0.033540895773950474,3.391576614859497,1.8322020208178103,3.493347883625039,1.8776111657158059,1.8800242466612354,4.640230100001645,0.0011600575250004113
