Joint,Initial angle (rad),Final angle (rad),Delta (rad)
theta_1,0.000000000,0.000000010,1.010525657e-08
theta_2,-1.570796327,-1.570796062,2.647271073e-07
theta_3,1.570796327,1.570796700,3.729609983e-07
theta_4,0.000000000,0.000000133,1.327373461e-07
theta_5,1.570796327,1.570796367,4.040549939e-08
theta_6,0.000000000,-0.000000025,-2.546835027e-08
