"trajectory","mean_position_error_m","final_position_error_m","final_joint_drift_norm_rad","max_position_error_m","max_joint_drift_rad","task_gain","drift_gain","solver_gamma","activation_power","dlccznn_inner_steps","runtime_s","path"
"figure8","9.83682755228222E-05","7.7050212494399E-05","0.000579953134849577","0.000361744812080784","0.00051308743422851","300.0","30.0","3072.0","0.8","60","185.732461400003","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage6_live_final_t300_d30\figure8\single\figure8\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json"
"line","7.80756966285416E-05","7.64649138954922E-05","0.000581339836909215","0.000106042609940089","0.000521778885740787","300.0","30.0","3072.0","0.8","60","184.9251984","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage5_live_line_local_sweep\t300_d30_g3072_p080_ns60\single\line\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json"
"circle","0.000102489487927052","7.68000730558733E-05","0.000581369356771736","0.000245339796787808","0.000513585720909759","300.0","30.0","3072.0","0.8","60","184.9541598","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage6_live_final_t300_d30\circle\single\circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json"
"small_circle","8.4968053575929E-05","7.79509970973166E-05","0.000581787062418424","0.000146385027460813","0.000513861450599506","300.0","30.0","3072.0","0.8","60","184.902331199999","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage6_live_final_t300_d30\small_circle\single\small_circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json"
"ellipse","0.000108907434220935","7.79635096686103E-05","0.000582150518359501","0.000265504258356344","0.000513323378982022","300.0","30.0","3072.0","0.8","60","184.939284500004","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage6_live_final_t300_d30\ellipse\single\ellipse\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json"
